Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE,Status
88,324.418525,182.287254,667.369797,117.096360,203.519290,0.05686986,ok
89,323.710488,130.773402,683.933799,108.205515,213.760763,0.05686002,ok
90,324.461469,204.548743,655.676295,114.928478,208.254645,0.05687209,ok
91,323.748792,128.092538,686.091657,109.459970,211.676270,0.05685928,ok
92,324.133031,109.493536,691.696474,104.666443,213.979983,0.05684612,ok
93,324.292693,75.347676,703.742355,99.255680,216.769266,10.00000000,bounds
94,324.103398,91.215458,699.030635,101.686672,215.434134,10.00000000,bounds
95,323.970430,151.300694,676.694697,111.315053,210.575993,0.05685724,ok
96,324.422995,139.982078,681.450580,109.249485,209.356076,0.05685520,ok
97,324.654372,147.418759,677.436291,107.910835,210.512491,0.05686108,ok
98,323.975187,132.924093,683.927815,109.072686,211.385325,0.05685377,ok
99,324.434636,116.859962,689.726498,105.158807,211.936501,0.05684833,ok
100,324.292135,96.255496,691.179768,102.685203,214.143080,10.00000000,bounds
101,324.226669,141.197345,682.329956,109.163539,210.577207,0.05685311,ok
