Iteration,sigma0,C1,gamma1,C2,gamma2,NRMSE_weighted,NRMSE_00,NRMSE_45,NRMSE_90,Status
59,277.694770,917.256738,423.658969,201.910327,155.731085,0.43843557,0.33183718,0.50043654,0.42103204,ok
60,263.163676,981.120852,418.446121,197.485454,153.001693,5.00000000,0.43012272,,0.51916240,partial_fail
61,276.303540,924.205951,425.551832,201.750904,155.004077,5.00000000,0.34126788,,0.43044649,partial_fail
62,264.130413,976.458817,420.550749,197.861975,154.566965,0.43357128,0.42372003,0.39889820,0.51276869,ok
63,269.945571,952.354418,421.993245,200.926225,153.897452,0.43561270,0.38416451,0.44250695,0.47327241,ok
64,270.806751,940.441886,422.682032,200.515916,155.117258,0.43590579,0.37856797,0.44868527,0.46768467,ok
65,270.807963,943.598134,421.378162,200.673444,155.668382,0.43591027,0.37848567,0.44877647,0.46760246,ok
66,272.302325,937.586923,423.508879,201.304641,155.638608,0.43644665,0.36840224,0.45992450,0.45753534,ok
67,263.542416,975.530191,418.771738,198.461007,154.303685,5.00000000,0.42765786,,0.51670099,partial_fail
68,270.112348,947.072740,422.324594,200.593732,155.304877,0.43566090,0.38320921,0.44355792,0.47231853,ok
69,264.758532,970.908823,421.281027,199.060319,154.128510,5.00000000,0.41945750,,0.50851221,partial_fail
70,269.295605,950.425806,421.353879,200.270163,155.283414,0.43537107,0.38872462,0.43746718,0.47782531,ok
71,264.155286,978.058638,419.445897,199.119546,154.746096,5.00000000,0.42343833,,0.51248736,partial_fail
72,269.143885,949.846074,421.872998,200.166823,155.024467,0.43531569,0.38978182,0.43630003,0.47888086,ok
73,264.462304,972.537118,419.622696,198.870966,154.446313,5.00000000,0.42142481,,0.51047667,partial_fail
74,268.699837,953.438834,421.649119,200.163041,155.090236,0.43516012,0.39276026,0.43301277,0.48185469,ok
75,264.130788,967.689206,419.816395,198.233200,156.330852,0.43355944,0.42390841,0.39868628,0.51295679,ok
76,262.714826,976.523179,419.840768,198.074477,155.363866,5.00000000,0.43342607,,0.52246117,partial_fail
77,267.650411,956.950149,420.975601,199.721241,155.303527,0.43478872,0.39989607,0.42513961,0.48897959,ok
78,262.269157,979.944540,418.962690,197.999584,155.734436,5.00000000,0.43641517,,0.52544612,partial_fail
79,267.425203,957.370691,421.145421,199.625013,155.201960,5.00000000,0.40143639,,0.49051758,partial_fail
80,264.025972,968.814368,419.456875,198.834881,155.968265,0.43352790,0.42455058,0.39798151,0.51359800,ok
81,264.025785,973.199173,419.824052,198.649268,155.086321,0.43353383,0.42445620,0.39808764,0.51350381,ok
82,265.785783,963.444839,420.036478,199.578901,155.454602,5.00000000,0.41254279,,0.50160754,partial_fail
83,266.310496,961.689182,420.373237,199.799801,155.347957,0.43432080,0.40897398,0.41513265,0.49804392,ok
84,266.532520,959.892802,420.485177,199.801692,155.315073,0.43439720,0.40748434,0.41677399,0.49655648,ok
85,264.140588,969.969182,419.658201,199.029980,155.474715,0.43357048,0.42371970,0.39889696,0.51276831,ok
86,262.437079,977.551772,418.878712,198.498504,155.678102,0.43299194,0.43527548,0.38619212,0.52430803,ok
87,260.389358,986.381257,418.075479,197.846910,155.859617,5.00000000,0.44917555,,0.53818963,partial_fail
88,261.109735,982.100428,418.392841,197.979876,155.777276,5.00000000,0.44430872,,0.53332906,partial_fail
89,265.010306,966.791993,419.878138,199.344820,155.455287,0.43386985,0.41780571,0.40540548,0.50686272,ok
90,262.409926,976.997616,418.887940,198.434857,155.669946,0.43298203,0.43547304,0.38597489,0.52450532,ok
91,261.109735,982.100428,418.392841,197.979876,155.777276,5.00000000,0.44430872,,0.53332906,partial_fail
92,262.587378,976.631801,418.799773,198.511648,155.728610,5.00000000,0.43425936,,0.52329328,partial_fail
93,263.752286,971.634837,419.443594,198.900397,155.538189,0.43343782,0.42635457,0.39599864,0.51539946,ok
94,262.592783,972.776076,418.481738,198.992812,156.297751,5.00000000,0.43428203,,0.52331591,partial_fail
95,263.667534,973.093399,419.488474,198.735154,155.389179,0.43340995,0.42691264,0.39538521,0.51595675,ok
96,262.449220,978.872494,418.861554,198.767308,155.184172,0.43299984,0.43513267,0.38635063,0.52416543,ok
97,261.965262,981.320518,419.126754,197.897927,155.378157,5.00000000,0.43846753,,0.52749571,partial_fail
98,263.432182,972.784776,419.104705,199.051902,155.548798,5.00000000,0.42851093,,0.51755280,partial_fail
99,262.423502,977.274694,418.883326,198.466681,155.674024,0.43298700,0.43537432,0.38608350,0.52440666,ok
100,262.429573,977.935055,418.874747,198.601083,155.427059,0.43299094,0.43530292,0.38616274,0.52433539,ok
101,263.038730,975.045508,419.188207,198.585006,155.529562,5.00000000,0.43119270,,0.52023085,partial_fail
102,263.081106,974.316227,419.165767,198.667627,155.604067,5.00000000,0.43091359,,0.51995218,partial_fail
103,263.165541,973.468573,418.992648,198.935709,155.637812,5.00000000,0.43033250,,0.51937184,partial_fail
