true_strain,true_stress_MPa
9.599539685423504e-05,14.400733839274643
0.00019198157947676963,28.80293816041887
0.0003359435526646659,50.40899411028495
0.0005518476976681744,82.82427654082949
0.0008756165379513829,131.46111627521734
0.0013610732781402402,204.44770793239906
0.0020888168334493628,313.99802208539217
0.003179440257445686,478.48172998499933
0.004813148320762112,567.4714682861858
0.007258716911754443,569.8718916042942
0.010915891780645903,573.6005585281808
0.014559740442984458,577.3905603903628
0.018190359663747158,581.2103435838025
0.02180784515776989,585.0514018679111
0.026493306892909744,590.0972049086984
0.031156917419589748,595.1750288218435
0.035798879603510254,600.2647142934293
0.040419391208584905,605.1730238131194
0.04501865411814209,609.5563336454779
0.04959686061541647,613.9324353359756
0.05415420262362144,618.3142278743419
0.05869086945388181,622.701423832156
0.06320704785242078,627.093891376919
0.06770292204668607,631.4917623430874
0.07217867379044382,635.8920267692156
0.07663448240786853,640.2025547650967
0.08107052483665338,644.4720336899127
0.08548698004784573,648.7457002728714
0.08988400719870233,653.026038998345
0.09426179378920374,657.3126355263856
0.09862049022759986,661.6048849867572
0.10296027084983736,665.9020743272113
0.10728130769457932,670.179842141106
0.11158374495392132,674.4145622181904
0.1158677590131438,678.6354556834931
0.12013349009915687,682.8562535705494
0.1243811104090936,687.078286879946
0.12861075634073688,691.3008059938398
0.13282259604116695,695.5231271020658
0.13701676220937392,699.7424590433214
0.14119341907477734,703.925286632855
0.14535269576246965,708.0832933043304
0.14949474449868086,712.2300283027824
0.15361972377052358,716.3737409428381
0.15772774117427424,720.5177344257376
0.16181895179007402,724.6624106022776
0.1658934925781899,728.8083033734694
0.16995151492393532,732.9452160562506
0.17399312023007835,737.0534208042574
0.1780184566929576,741.1489692386156
0.18202765476295485,745.240000807581
0.18602085916358857,749.3308668603281
0.18999816550998902,753.4261999680524
0.1939597155376345,757.5259007741181
0.19790563359313512,761.6298392814283
0.2018360425568957,765.7188842808621
0.2057510793925763,769.7884779060216
0.20965083300317922,773.8492695843056
0.21353543759387922,777.9068686549348
0.2174050104054419,781.9630876325912
0.22125968261042078,786.0210634670698
0.22509953812514402,790.0814486884132
0.22892470553172797,794.1421593358319
0.23273529677119775,798.183185304244
0.2365314375656142,802.2076912224031
0.2403132071570589,806.2232231253065
0.2440807288326789,810.2347985481572
0.24783410954843144,814.2433438845409
0.2515734698915257,818.2510913444374
0.25529888471878665,822.2606813130075
0.2590104723266079,826.2683058376264
0.26270833497754076,830.2574529270613
0.26639258841678176,834.2334001600184
0.27006330338351364,838.201815588477
0.27372059346578387,842.1670619975588
0.27736455650337594,846.1301117083345
0.28099528927037887,850.0921370552866
0.2846128874906094,854.0549420968823
0.28821747444767076,858.0145266619004
0.29180908651764137,861.9571337181067
0.2953878450614627,865.8880192042188
0.2989538417505937,869.8111628656112
0.30250716727927407,873.7298836040273
0.3060479113783655,877.6464686252586
0.30957616282894795,881.5604208330151
0.31309200947567556,885.472021979474
0.31659553823990166,889.3789588755258
0.3200868628305536,893.2697022327965
0.32356601286867714,897.1486646189228
0.3270331003770385,901.0190639124166
0.33048820871049855,904.883283769784
0.33393142036289025,908.7439234151504
0.337362816978837,912.6007799902935
0.3407824793653688,916.4547132372916
0.3441904875033396,920.3012776493774
0.3475869475053156,924.132080846714
0.35097188374889854,927.9503549380719
0.3543454008413404,931.759154658698
0.3577075755691495,935.5601355536497
0.36105848394691825,939.355250546124
0.36439820122763483,943.1464592675811
0.36772680191282436,946.9328642021308
0.37104435976252015,950.7127290666009
0.374350974040099,954.4763761000447
0.3776466644954967,958.2280013295677
0.38093152904438693,961.9700798467778
0.3842056385773039,965.7045545908468
0.38746906329074304,969.433169043439
0.3907218726961898,973.1580228569918
0.3939641356290048,976.8804006696664
0.39719592025716366,980.5984448998698
0.40041729408985627,984.3038691905077
0.40362834946401877,987.9977851712805
0.4068291015589622,991.6840649116085
0.410019641517758,995.364438119512
0.41320003429772423,999.040292876498
0.41637034423837277,1002.7134247517849
0.41953063506921995,1006.3846762089597
0.42268096991747206,1010.0547035931647
0.42582141131559187,1013.7155648299362
0.4289520460497186,1017.3654038589565
0.43207288572570846,1021.0068850695596
0.4351840160548737,1024.64253891191
0.4382854972640253,1028.2734309221098
0.44137738902132784,1031.9003295662167
0.444459750443188,1035.5242535568216
0.44753264010103694,1039.1463227663894
0.45059611602800814,1042.7626526248864
0.45365025996047115,1046.36666225457
0.4566950803309968,1049.960773619047
0.45973065790596684,1053.5462173867559
0.46275704863008826,1057.1254092998583
0.46577430794166835,1060.6988156324342
0.4687824907787074,1064.2672330441328
0.4717816515849005,1067.830905146691
0.47477184431555064,1071.3909231128357
0.4777531224433925,1074.939526585378
0.4807255625519225,1078.4757708522473
0.48368916992087946,1082.0029571387188
0.4866440202671857,1085.52091367056
0.4895901651898314,1089.0322623989357
0.4925276558330918,1092.5379513261812
0.4954565661345244,1096.0382086156267
0.4983768766168642,1099.5334449787258
0.5012887299274158,1103.0222205395546
0.5041920828788916,1106.4994061919062
0.5070870767168049,1109.9660716275976
0.5099736679370857,1113.4250994144397
0.512851996409489,1116.8756160276578
0.5157220638792891,1120.3202647010833
0.5185838722075178,1123.7603508657921
0.5214375592476324,1127.1956632014765
0.524283080761042,1130.6265008121306
0.5271205732876322,1134.0483471071498
0.5299499923168313,1137.4605853151807
0.5327714730987239,1140.8640417593213
0.5355849708626066,1144.260665661515
0.5383906195919361,1147.649836358636
0.5411884186746894,1151.0330669117618
0.5439783676282104,1154.4120989412927
0.5467605985781898,1157.7864396356717
0.5495350661528764,1161.1555589708828
0.5523019012667597,1164.5140757977797
0.5550610583264114,1167.864382635971
0.5578126670563358,1171.2066784661997
0.5605566816516072,1174.5416010282754
