Time,Load,Stress,Strain
0,0,0,0
0.997,0.313,10.43333333,1.34E-04
1.998,0.839,27.96666667,3.15E-04
2.998,1.356,45.2,3.46E-04
3.997,1.836,61.2,5.98E-04
4.996,2.369,78.96666667,9.68E-04
5.993,2.906,96.86666667,1.07E-03
6.993,3.435,114.5,1.16E-03
7.992,3.948,131.6,1.37E-03
8.992,4.436,147.8666667,1.72E-03
9.991,4.907,163.5666667,1.91E-03
10.989,5.366,178.8666667,1.71E-03
11.989,5.755,191.8333333,1.51E-03
12.988,6.093,203.1,1.62E-03
13.987,6.428,214.2666667,1.65E-03
14.986,6.759,225.3,1.98E-03
15.983,7.082,236.0666667,2.27E-03
16.984,7.399,246.6333333,2.20E-03
17.983,7.711,257.0333333,1.84E-03
18.979,8.017,267.2333333,1.67E-03
19.981,8.325,277.5,1.71E-03
20.98,8.634,287.8,2.10E-03
21.979,8.943,298.1,2.61E-03
22.977,9.25,308.3333333,2.52E-03
23.977,9.543,318.1,2.23E-03
24.976,9.832,327.7333333,1.98E-03
25.975,10.109,336.9666667,2.17E-03
26.973,10.383,346.1,2.41E-03
27.973,10.636,354.5333333,2.61E-03
28.972,10.871,362.3666667,2.90E-03
29.971,11.091,369.7,2.72E-03
30.97,11.288,376.2666667,2.46E-03
31.969,11.46,382,2.39E-03
32.968,11.619,387.3,2.74E-03
33.967,11.768,392.2666667,3.11E-03
34.966,11.916,397.2,3.00E-03
35.965,12.066,402.2,2.70E-03
36.964,12.199,406.6333333,2.61E-03
37.963,12.28,409.3333333,2.86E-03
38.962,12.316,410.5333333,3.26E-03
39.961,12.337,411.2333333,3.01E-03
40.96,12.371,412.3666667,2.72E-03
41.959,12.422,414.0666667,2.62E-03
42.958,12.467,415.5666667,3.05E-03
43.957,12.475,415.8333333,3.25E-03
44.955,12.481,416.0333333,2.77E-03
45.955,12.491,416.3666667,2.72E-03
46.955,12.51,417,2.75E-03
47.952,12.527,417.5666667,2.96E-03
48.952,12.53,417.6666667,2.96E-03
49.951,12.519,417.3,2.68E-03
50.95,12.503,416.7666667,2.49E-03
51.949,12.488,416.2666667,2.49E-03
52.947,12.491,416.3666667,2.75E-03
53.946,12.487,416.2333333,2.99E-03
54.947,12.48,416,2.88E-03
55.945,12.475,415.8333333,2.66E-03
56.944,12.461,415.3666667,2.53E-03
57.943,12.462,415.4,2.56E-03
58.942,12.465,415.5,3.14E-03
59.941,12.46,415.3333333,3.00E-03
60.94,12.455,415.1666667,2.50E-03
61.94,12.471,415.7,2.45E-03
62.938,12.474,415.8,2.85E-03
63.937,12.469,415.6333333,3.07E-03
64.937,12.487,416.2333333,2.56E-03
65.933,12.475,415.8333333,2.41E-03
66.934,12.451,415.0333333,2.79E-03
67.933,12.465,415.5,2.91E-03
68.932,12.49,416.3333333,2.61E-03
69.93,12.501,416.7,2.47E-03
70.928,12.513,417.1,2.65E-03
71.93,12.534,417.8,3.06E-03
72.927,12.542,418.0666667,2.82E-03
73.927,12.494,416.4666667,2.38E-03
