Time,Load,Stress,Strain
0,0,0,0
0.999,0.238,7.933333333,2.63E-05
1.996,0.778,25.93333333,1.66E-04
2.996,1.363,45.43333333,2.24E-04
3.995,1.928,64.26666667,1.44E-04
4.994,2.463,82.1,2.34E-04
5.994,2.974,99.13333333,3.53E-04
6.991,3.454,115.1333333,5.10E-04
7.99,3.915,130.5,6.05E-04
8.99,4.325,144.1666667,5.79E-04
9.989,4.667,155.5666667,4.94E-04
10.987,4.997,166.5666667,6.00E-04
11.988,5.321,177.3666667,5.91E-04
12.987,5.64,188,6.87E-04
13.985,5.948,198.2666667,9.40E-04
14.985,6.252,208.4,9.62E-04
15.983,6.557,218.5666667,7.11E-04
16.983,6.862,228.7333333,6.91E-04
17.982,7.168,238.9333333,6.96E-04
18.98,7.476,249.2,9.72E-04
19.98,7.784,259.4666667,1.13E-03
20.979,8.091,269.7,1.01E-03
21.979,8.398,279.9333333,1.00E-03
22.977,8.705,290.1666667,9.37E-04
23.975,9.015,300.5,9.92E-04
24.975,9.321,310.7,1.15E-03
25.973,9.573,319.1,1.50E-03
26.971,9.751,325.0333333,1.31E-03
27.971,9.964,332.1333333,1.07E-03
28.969,10.164,338.8,1.13E-03
29.97,10.352,345.0666667,1.24E-03
30.969,10.522,350.7333333,1.43E-03
31.968,10.685,356.1666667,1.43E-03
32.967,10.833,361.1,1.26E-03
33.966,10.974,365.8,1.21E-03
34.964,11.107,370.2333333,1.47E-03
35.964,11.192,373.0666667,1.68E-03
36.963,11.236,374.5333333,1.35E-03
37.963,11.263,375.4333333,1.20E-03
38.961,11.217,373.9,1.52E-03
39.96,10.982,366.0666667,1.34E-03
40.959,10.942,364.7333333,1.21E-03
41.959,10.928,364.2666667,1.41E-03
42.956,10.82,360.6666667,1.32E-03
43.956,10.643,354.7666667,1.12E-03
44.954,10.585,352.8333333,1.30E-03
45.954,10.537,351.2333333,1.34E-03
46.951,10.43,347.6666667,1.10E-03
47.951,10.371,345.7,1.28E-03
48.951,10.352,345.0666667,1.32E-03
49.95,10.348,344.9333333,1.16E-03
50.949,10.352,345.0666667,1.15E-03
51.946,10.361,345.3666667,1.28E-03
52.946,10.373,345.7666667,1.22E-03
53.946,10.383,346.1,1.04E-03
54.945,10.39,346.3333333,1.24E-03
55.943,10.393,346.4333333,1.28E-03
56.942,10.406,346.8666667,1.13E-03
57.941,10.47,349,1.04E-03
58.94,10.525,350.8333333,1.41E-03
59.94,10.558,351.9333333,1.23E-03
60.939,10.581,352.7,1.06E-03
61.937,10.603,353.4333333,1.18E-03
62.937,10.625,354.1666667,1.26E-03
63.936,10.647,354.9,1.17E-03
64.934,10.666,355.5333333,1.11E-03
