Time,Load,Stress,Strain
0,0,0,0
0.999,0.306,10.2,8.22E-05
1.998,0.817,27.23333333,1.95E-04
2.997,1.3,43.33333333,3.61E-04
3.995,1.808,60.26666667,8.06E-04
4.995,2.355,78.5,1.05E-03
5.994,2.889,96.3,1.28E-03
6.993,3.402,113.4,1.38E-03
7.991,3.887,129.5666667,1.45E-03
8.991,4.358,145.2666667,1.60E-03
9.99,4.813,160.4333333,1.75E-03
10.99,5.223,174.1,2.05E-03
11.989,5.555,185.1666667,1.78E-03
12.987,5.879,195.9666667,1.65E-03
13.984,6.198,206.6,1.63E-03
14.984,6.516,217.2,1.67E-03
15.985,6.829,227.6333333,1.93E-03
16.984,7.131,237.7,2.09E-03
17.981,7.434,247.8,2.33E-03
18.981,7.738,257.9333333,2.23E-03
19.98,8.042,268.0666667,2.05E-03
20.98,8.35,278.3333333,1.93E-03
21.978,8.661,288.7,1.95E-03
22.977,8.973,299.1,2.10E-03
23.976,9.288,309.6,2.49E-03
24.974,9.604,320.1333333,2.53E-03
25.974,9.922,330.7333333,2.50E-03
26.974,10.239,341.3,2.34E-03
27.973,10.551,351.7,2.33E-03
28.971,10.807,360.2333333,2.41E-03
29.969,11.031,367.7,2.68E-03
30.968,11.258,375.2666667,2.91E-03
31.969,11.462,382.0666667,2.67E-03
32.967,11.641,388.0333333,2.44E-03
33.966,11.779,392.6333333,2.62E-03
34.965,11.853,395.1,3.12E-03
35.964,11.861,395.3666667,2.70E-03
36.962,11.831,394.3666667,2.45E-03
37.963,11.779,392.6333333,2.73E-03
38.96,11.711,390.3666667,2.92E-03
39.961,11.692,389.7333333,2.28E-03
40.959,11.676,389.2,2.52E-03
41.959,11.587,386.2333333,3.07E-03
42.957,11.269,375.6333333,4.96E-03
43.957,11.029,367.6333333,7.08E-03
44.955,11.02,367.3333333,9.41E-03
45.955,11.02,367.3333333,1.09E-02
46.954,11.017,367.2333333,1.28E-02
47.951,11.026,367.5333333,1.52E-02
48.95,11.004,366.8,1.70E-02
49.949,10.992,366.4,1.89E-02
50.95,11.003,366.7666667,2.11E-02
51.947,11.016,367.2,2.33E-02
52.947,11.033,367.7666667,2.50E-02
53.948,11.052,368.4,2.68E-02
54.946,11.072,369.0666667,2.93E-02
55.945,11.083,369.4333333,3.11E-02
56.943,11.079,369.3,3.28E-02
57.943,11.065,368.8333333,3.51E-02
58.941,11.065,368.8333333,3.70E-02
59.94,11.065,368.8333333,3.87E-02
60.938,11.047,368.2333333,4.05E-02
61.937,11.036,367.8666667,4.24E-02
62.936,10.964,365.4666667,4.38E-02
63.937,10.906,363.5333333,4.50E-02
64.934,10.91,363.6666667,4.64E-02
65.934,10.934,364.4666667,4.74E-02
66.934,10.956,365.2,4.85E-02
67.932,10.969,365.6333333,4.95E-02
68.931,10.93,364.3333333,5.01E-02
69.931,10.905,363.5,5.09E-02
70.93,10.918,363.9333333,5.15E-02
71.927,10.929,364.3,5.21E-02
72.927,10.93,364.3333333,5.25E-02
73.927,10.935,364.5,5.30E-02
74.924,10.94,364.6666667,5.36E-02
75.923,10.926,364.2,5.41E-02
76.923,10.933,364.4333333,5.48E-02
77.921,10.929,364.3,5.56E-02
78.92,10.924,364.1333333,5.60E-02
79.92,10.949,364.9666667,5.66E-02
80.918,10.977,365.9,5.73E-02
81.919,10.999,366.6333333,5.77E-02
82.917,11.013,367.1,5.81E-02
83.916,11.019,367.3,5.86E-02
84.916,11.02,367.3333333,5.91E-02
85.914,11.024,367.4666667,5.97E-02
86.913,11.019,367.3,6.01E-02
87.914,11.015,367.1666667,6.04E-02
88.913,10.998,366.6,6.08E-02
89.911,10.993,366.4333333,6.13E-02
90.909,10.981,366.0333333,6.17E-02
91.909,10.989,366.3,6.21E-02
92.907,10.997,366.5666667,6.26E-02
93.908,11.002,366.7333333,6.30E-02
94.907,10.992,366.4,6.32E-02
95.904,10.895,363.1666667,6.34E-02
96.905,10.841,361.3666667,6.34E-02
97.902,10.845,361.5,6.34E-02
98.901,10.866,362.2,6.36E-02
99.9,10.906,363.5333333,6.38E-02
100.901,10.946,364.8666667,6.39E-02
101.899,10.965,365.5,6.41E-02
102.899,10.974,365.8,6.43E-02
103.896,10.964,365.4666667,6.45E-02
104.895,10.952,365.0666667,6.46E-02
105.894,10.954,365.1333333,6.49E-02
106.894,10.967,365.5666667,6.50E-02
107.893,10.983,366.1,6.53E-02
108.891,11,366.6666667,6.54E-02
109.889,11.014,367.1333333,6.57E-02
110.891,11.029,367.6333333,6.59E-02
111.888,11.021,367.3666667,6.61E-02
112.888,11.017,367.2333333,6.63E-02
113.886,11.015,367.1666667,6.64E-02
114.886,11.022,367.4,6.66E-02
115.885,11.028,367.6,6.67E-02
116.884,11.041,368.0333333,6.69E-02
117.881,11.022,367.4,6.71E-02
118.883,11.026,367.5333333,6.73E-02
119.88,11.038,367.9333333,6.74E-02
120.878,11.05,368.3333333,6.75E-02
121.88,11.054,368.4666667,6.78E-02
122.879,11.044,368.1333333,6.80E-02
123.877,11.047,368.2333333,6.80E-02
124.876,11.05,368.3333333,6.82E-02
125.874,11.045,368.1666667,6.84E-02
126.874,11.044,368.1333333,6.85E-02
127.871,11.047,368.2333333,6.87E-02
128.872,11.05,368.3333333,6.88E-02
129.869,11.048,368.2666667,6.90E-02
130.869,11.043,368.1,6.90E-02
131.869,11.037,367.9,6.92E-02
132.867,11.041,368.0333333,6.93E-02
133.868,11.047,368.2333333,6.95E-02
134.867,11.051,368.3666667,6.95E-02
135.866,11.054,368.4666667,6.97E-02
136.863,11.055,368.5,6.98E-02
137.863,11.055,368.5,7.00E-02
138.861,11.055,368.5,7.01E-02
139.862,11.055,368.5,7.02E-02
140.859,11.055,368.5,7.02E-02
141.859,11.053,368.4333333,7.04E-02
142.859,11.052,368.4,7.05E-02
143.858,11.051,368.3666667,7.06E-02
144.857,11.048,368.2666667,7.06E-02
145.856,11.042,368.0666667,7.08E-02
146.854,11.039,367.9666667,7.09E-02
147.854,11.038,367.9333333,7.10E-02
148.853,11.04,368,7.10E-02
149.852,11.037,367.9,7.12E-02
150.85,11.03,367.6666667,7.13E-02
151.848,11.027,367.5666667,7.13E-02
152.849,11.023,367.4333333,7.14E-02
153.847,11.02,367.3333333,7.14E-02
154.847,11.022,367.4,7.15E-02
155.844,11.028,367.6,7.16E-02
156.843,11.033,367.7666667,7.17E-02
157.843,11.035,367.8333333,7.17E-02
158.841,11.029,367.6333333,7.18E-02
159.842,11.025,367.5,7.19E-02
160.841,11.021,367.3666667,7.19E-02
161.839,11.015,367.1666667,7.20E-02
162.839,11.015,367.1666667,7.21E-02
163.836,11.011,367.0333333,7.21E-02
164.837,11.009,366.9666667,7.22E-02
165.836,11.004,366.8,7.22E-02
166.834,11,366.6666667,7.23E-02
167.834,10.998,366.6,7.23E-02
168.833,10.995,366.5,7.24E-02
