Time,Load,Stress,Strain
0,0,0,0
1,0.346,11.53333333,4.62E-05
1.999,0.971,32.36666667,1.37E-04
2.998,1.527,50.9,7.70E-05
3.997,1.915,63.83333333,1.21E-04
4.996,2.237,74.56666667,1.69E-04
5.995,2.531,84.36666667,2.30E-04
6.994,2.82,94,3.35E-04
7.993,3.11,103.6666667,3.93E-04
8.992,3.402,113.4,4.21E-04
9.991,3.693,123.1,3.45E-04
10.988,3.986,132.8666667,3.49E-04
11.989,4.282,142.7333333,4.96E-04
12.988,4.579,152.6333333,6.81E-04
13.988,4.879,162.6333333,7.82E-04
14.985,5.183,172.7666667,7.21E-04
15.985,5.483,182.7666667,6.29E-04
16.984,5.713,190.4333333,6.65E-04
17.982,5.949,198.3,7.61E-04
18.982,6.192,206.4,9.02E-04
19.98,6.423,214.1,9.58E-04
20.979,6.638,221.2666667,8.44E-04
21.979,6.837,227.9,7.80E-04
22.978,7.021,234.0333333,7.65E-04
23.975,7.19,239.6666667,1.02E-03
24.976,7.35,245,1.21E-03
25.976,7.504,250.1333333,8.89E-04
26.973,7.655,255.1666667,7.96E-04
27.973,7.797,259.9,8.88E-04
28.973,7.925,264.1666667,9.34E-04
29.972,8.013,267.1,1.11E-03
30.971,7.892,263.0666667,7.77E-04
31.969,7.522,250.7333333,9.45E-04
32.969,7.47,249,1.00E-03
33.967,7.465,248.8333333,7.39E-04
34.966,7.472,249.0666667,6.89E-04
35.966,7.485,249.5,1.03E-03
36.965,7.5,250,7.46E-04
37.964,7.505,250.1666667,7.37E-04
38.963,7.513,250.4333333,1.01E-03
39.962,7.519,250.6333333,8.72E-04
40.96,7.52,250.6666667,6.43E-04
41.959,7.512,250.4,7.28E-04
42.959,7.504,250.1333333,8.80E-04
43.958,7.519,250.6333333,6.93E-04
44.957,7.528,250.9333333,6.62E-04
45.956,7.528,250.9333333,8.86E-04
46.955,7.515,250.5,7.44E-04
47.953,7.513,250.4333333,5.30E-04
48.953,7.529,250.9666667,6.86E-04
49.951,7.547,251.5666667,7.69E-04
50.951,7.537,251.2333333,5.80E-04
51.95,7.543,251.4333333,5.72E-04
52.949,7.565,252.1666667,7.27E-04
53.947,7.583,252.7666667,5.09E-04
54.945,7.59,253,4.85E-04
55.945,7.557,251.9,6.61E-04
56.945,7.492,249.7333333,7.47E-04
57.944,7.496,249.8666667,8.09E-04
58.942,7.528,250.9333333,9.99E-04
59.942,7.566,252.2,1.42E-03
60.94,7.61,253.6666667,1.64E-03
61.937,7.645,254.8333333,1.79E-03
62.938,7.669,255.6333333,2.26E-03
63.938,7.684,256.1333333,2.76E-03
64.936,7.691,256.3666667,3.12E-03
65.935,7.67,255.6666667,3.58E-03
66.934,7.606,253.5333333,4.42E-03
67.934,7.591,253.0333333,4.97E-03
68.933,7.603,253.4333333,5.47E-03
69.931,7.629,254.3,6.23E-03
70.931,7.661,255.3666667,7.17E-03
71.93,7.685,256.1666667,7.77E-03
72.926,7.7,256.6666667,8.63E-03
73.928,7.708,256.9333333,9.90E-03
74.925,7.694,256.4666667,1.11E-02
75.926,7.653,255.1,1.22E-02
76.924,7.632,254.4,1.39E-02
77.924,7.529,250.9666667,1.64E-02
78.923,7.396,246.5333333,1.84E-02
79.922,7.389,246.3,2.04E-02
80.921,7.402,246.7333333,2.26E-02
81.92,7.417,247.2333333,2.44E-02
82.918,7.429,247.6333333,2.60E-02
83.917,7.441,248.0333333,2.82E-02
84.918,7.459,248.6333333,3.00E-02
85.916,7.474,249.1333333,3.14E-02
86.915,7.485,249.5,3.33E-02
87.913,7.497,249.9,3.54E-02
88.913,7.507,250.2333333,3.69E-02
89.911,7.519,250.6333333,3.83E-02
90.911,7.523,250.7666667,4.04E-02
91.909,7.501,250.0333333,4.19E-02
92.909,7.49,249.6666667,4.33E-02
93.907,7.455,248.5,4.51E-02
94.906,7.462,248.7333333,4.63E-02
95.906,7.517,250.5666667,4.75E-02
96.905,7.535,251.1666667,4.87E-02
97.902,7.535,251.1666667,5.02E-02
98.903,7.506,250.2,5.15E-02
99.902,7.457,248.5666667,5.27E-02
100.9,7.479,249.3,5.39E-02
101.901,7.542,251.4,5.47E-02
102.899,7.561,252.0333333,5.55E-02
103.898,7.59,253,5.63E-02
104.897,7.595,253.1666667,5.72E-02
105.896,7.581,252.7,5.81E-02
106.895,7.478,249.2666667,5.89E-02
107.893,7.437,247.9,5.93E-02
108.893,7.446,248.2,5.96E-02
109.892,7.478,249.2666667,5.99E-02
110.891,7.534,251.1333333,6.01E-02
111.89,7.574,252.4666667,6.04E-02
112.89,7.602,253.4,6.07E-02
113.888,7.582,252.7333333,6.10E-02
114.887,7.563,252.1,6.13E-02
115.887,7.56,252,6.14E-02
116.885,7.544,251.4666667,6.16E-02
117.884,7.528,250.9333333,6.18E-02
118.884,7.574,252.4666667,6.19E-02
119.883,7.631,254.3666667,6.22E-02
120.882,7.665,255.5,6.24E-02
121.881,7.689,256.3,6.26E-02
122.879,7.657,255.2333333,6.27E-02
123.879,7.631,254.3666667,6.29E-02
124.876,7.56,252,6.30E-02
125.877,7.595,253.1666667,6.31E-02
126.876,7.631,254.3666667,6.31E-02
127.874,7.646,254.8666667,6.33E-02
128.874,7.569,252.3,6.33E-02
129.872,7.539,251.3,6.34E-02
130.871,7.558,251.9333333,6.34E-02
131.87,7.61,253.6666667,6.36E-02
132.869,7.652,255.0666667,6.37E-02
133.869,7.679,255.9666667,6.39E-02
134.868,7.7,256.6666667,6.40E-02
135.866,7.678,255.9333333,6.40E-02
136.866,7.641,254.7,6.41E-02
137.865,7.553,251.7666667,6.42E-02
138.863,7.438,247.9333333,6.42E-02
