Time,Load,Stress,Strain
0,0,0,0
0.998,0.343,11.43333333,1.21E-04
1.998,0.934,31.13333333,1.71E-04
2.998,1.415,47.16666667,2.31E-04
3.997,1.692,56.4,2.86E-04
4.995,1.94,64.66666667,3.27E-04
5.995,2.176,72.53333333,3.48E-04
6.994,2.401,80.03333333,5.23E-04
7.991,2.622,87.4,4.78E-04
8.992,2.845,94.83333333,4.16E-04
9.991,3.072,102.4,4.56E-04
10.988,3.3,110,4.79E-04
11.989,3.531,117.7,5.85E-04
12.988,3.765,125.5,6.67E-04
13.988,4.003,133.4333333,8.02E-04
14.985,4.242,141.4,8.86E-04
15.985,4.485,149.5,7.11E-04
16.985,4.731,157.7,6.34E-04
17.982,4.972,165.7333333,6.67E-04
18.981,5.212,173.7333333,7.87E-04
19.981,5.455,181.8333333,1.00E-03
20.979,5.699,189.9666667,1.16E-03
21.977,5.942,198.0666667,1.04E-03
22.977,6.182,206.0666667,8.86E-04
23.976,6.412,213.7333333,8.74E-04
24.975,6.632,221.0666667,9.19E-04
25.974,6.848,228.2666667,1.04E-03
26.974,7.054,235.1333333,1.30E-03
27.972,7.245,241.5,1.26E-03
28.971,7.422,247.4,1.12E-03
29.971,7.589,252.9666667,9.66E-04
30.969,7.745,258.1666667,1.05E-03
31.97,7.879,262.6333333,1.24E-03
32.967,7.969,265.6333333,1.16E-03
33.967,7.978,265.9333333,9.95E-04
34.966,7.938,264.6,1.21E-03
35.966,7.939,264.6333333,1.38E-03
36.964,7.987,266.2333333,1.08E-03
37.962,8.026,267.5333333,1.06E-03
38.962,8.071,269.0333333,1.42E-03
39.961,8.098,269.9333333,1.37E-03
40.96,8.114,270.4666667,1.09E-03
41.959,8.067,268.9,1.08E-03
42.958,8.04,268,1.47E-03
43.957,8.041,268.0333333,1.20E-03
44.955,8.053,268.4333333,1.07E-03
45.954,8.073,269.1,1.34E-03
46.955,8.082,269.4,1.29E-03
47.953,8,266.6666667,1.00E-03
48.951,7.916,263.8666667,1.30E-03
49.952,7.857,261.9,1.39E-03
50.951,7.892,263.0666667,1.12E-03
51.947,7.949,264.9666667,1.04E-03
52.948,7.896,263.2,1.25E-03
53.946,7.832,261.0666667,1.20E-03
54.944,7.816,260.5333333,1.06E-03
55.946,7.771,259.0333333,1.22E-03
56.942,7.728,257.6,1.32E-03
57.944,7.684,256.1333333,1.05E-03
58.942,7.658,255.2666667,1.18E-03
59.941,7.621,254.0333333,1.29E-03
60.941,7.592,253.0666667,9.67E-04
61.938,7.587,252.9,1.04E-03
62.939,7.59,253,1.34E-03
63.937,7.618,253.9333333,1.15E-03
64.936,7.637,254.5666667,1.00E-03
65.933,7.649,254.9666667,1.20E-03
66.934,7.668,255.6,1.30E-03
67.934,7.677,255.9,9.55E-04
68.933,7.674,255.8,1.10E-03
69.931,7.657,255.2333333,1.40E-03
70.931,7.647,254.9,1.18E-03
71.929,7.664,255.4666667,9.81E-04
72.928,7.675,255.8333333,1.18E-03
73.927,7.688,256.2666667,1.41E-03
74.927,7.681,256.0333333,1.06E-03
75.926,7.652,255.0666667,9.07E-04
76.922,7.614,253.8,1.39E-03
77.922,7.596,253.2,1.25E-03
78.923,7.591,253.0333333,9.22E-04
79.922,7.609,253.6333333,1.17E-03
80.919,7.64,254.6666667,1.16E-03
81.919,7.667,255.5666667,1.04E-03
82.918,7.679,255.9666667,1.09E-03
83.918,7.702,256.7333333,1.38E-03
84.917,7.608,253.6,9.85E-04
85.915,7.548,251.6,1.06E-03
86.913,7.521,250.7,1.28E-03
87.913,7.503,250.1,1.09E-03
88.912,7.488,249.6,1.02E-03
89.91,7.474,249.1333333,1.02E-03
90.91,7.459,248.6333333,1.29E-03
91.91,7.442,248.0666667,1.14E-03
92.908,7.421,247.3666667,1.06E-03
93.908,7.41,247,1.32E-03
94.905,7.422,247.4,1.07E-03
95.907,7.427,247.5666667,1.06E-03
96.905,7.44,248,1.22E-03
97.903,7.459,248.6333333,1.41E-03
98.902,7.486,249.5333333,9.83E-04
99.903,7.52,250.6666667,1.04E-03
100.901,7.547,251.5666667,1.44E-03
101.899,7.555,251.8333333,1.22E-03
102.897,7.549,251.6333333,1.07E-03
103.898,7.55,251.6666667,1.26E-03
104.898,7.58,252.6666667,1.45E-03
105.896,7.625,254.1666667,1.20E-03
106.895,7.653,255.1,1.11E-03
107.894,7.668,255.6,1.46E-03
108.892,7.669,255.6333333,1.15E-03
109.891,7.623,254.1,1.13E-03
110.891,7.561,252.0333333,1.36E-03
111.89,7.572,252.4,1.34E-03
112.889,7.639,254.6333333,1.11E-03
113.888,7.69,256.3333333,1.27E-03
114.886,7.685,256.1666667,1.58E-03
115.887,7.659,255.3,1.23E-03
116.884,7.627,254.2333333,1.17E-03
117.883,7.587,252.9,1.48E-03
118.883,7.594,253.1333333,1.41E-03
119.881,7.623,254.1,1.21E-03
120.882,7.651,255.0333333,1.44E-03
121.881,7.671,255.7,2.00E-03
122.879,7.674,255.8,2.15E-03
123.876,7.629,254.3,3.11E-03
124.878,7.593,253.1,4.65E-03
125.875,7.53,251,5.57E-03
126.875,7.454,248.4666667,6.32E-03
127.873,7.411,247.0333333,7.30E-03
128.873,7.371,245.7,8.72E-03
129.87,7.388,246.2666667,9.77E-03
130.87,7.417,247.2333333,1.13E-02
131.87,7.444,248.1333333,1.36E-02
132.868,7.457,248.5666667,1.56E-02
133.869,7.416,247.2,1.74E-02
134.867,7.387,246.2333333,1.97E-02
135.865,7.371,245.7,2.22E-02
136.865,7.354,245.1333333,2.41E-02
137.865,7.333,244.4333333,2.62E-02
138.862,7.319,243.9666667,2.87E-02
139.863,7.332,244.4,3.07E-02
140.86,7.331,244.3666667,3.26E-02
141.861,7.332,244.4,3.48E-02
142.859,7.328,244.2666667,3.71E-02
143.858,7.335,244.5,3.89E-02
144.857,7.369,245.6333333,4.08E-02
145.854,7.406,246.8666667,4.27E-02
146.855,7.447,248.2333333,4.47E-02
147.855,7.478,249.2666667,4.64E-02
148.854,7.512,250.4,4.77E-02
149.851,7.541,251.3666667,4.94E-02
150.852,7.572,252.4,5.10E-02
151.849,7.602,253.4,5.22E-02
152.85,7.636,254.5333333,5.32E-02
153.848,7.668,255.6,5.43E-02
154.848,7.693,256.4333333,5.52E-02
155.846,7.708,256.9333333,5.61E-02
156.845,7.716,257.2,5.68E-02
157.844,7.732,257.7333333,5.74E-02
158.844,7.664,255.4666667,5.76E-02
159.843,7.574,252.4666667,5.79E-02
160.842,7.578,252.6,5.80E-02
161.841,7.602,253.4,5.82E-02
162.839,7.643,254.7666667,5.82E-02
163.837,7.718,257.2666667,5.84E-02
164.837,7.753,258.4333333,5.86E-02
165.837,7.764,258.8,5.88E-02
166.836,7.778,259.2666667,5.89E-02
167.834,7.756,258.5333333,5.91E-02
168.834,7.65,255,5.92E-02
169.832,7.617,253.9,5.92E-02
170.832,7.713,257.1,5.93E-02
171.831,7.746,258.2,5.93E-02
172.83,7.73,257.6666667,5.94E-02
173.829,7.714,257.1333333,5.95E-02
174.829,7.644,254.8,5.94E-02
175.827,7.568,252.2666667,5.95E-02
176.827,7.566,252.2,5.95E-02
177.824,7.584,252.8,5.96E-02
178.825,7.638,254.6,5.96E-02
179.822,7.708,256.9333333,5.96E-02
180.822,7.759,258.6333333,5.97E-02
181.819,7.757,258.5666667,5.97E-02
182.82,7.732,257.7333333,5.97E-02
183.819,7.677,255.9,5.98E-02
184.818,7.692,256.4,5.98E-02
185.816,7.696,256.5333333,5.98E-02
186.815,7.737,257.9,5.98E-02
187.815,7.797,259.9,5.99E-02
188.814,7.809,260.3,5.99E-02
189.813,7.812,260.4,6.01E-02
190.813,7.877,262.5666667,6.02E-02
191.812,7.92,264,6.05E-02
192.809,7.936,264.5333333,6.08E-02
193.809,7.945,264.8333333,6.10E-02
194.809,7.954,265.1333333,6.11E-02
195.808,7.965,265.5,6.14E-02
196.806,7.975,265.8333333,6.15E-02
197.805,7.985,266.1666667,6.18E-02
198.804,7.996,266.5333333,6.21E-02
199.803,8.005,266.8333333,6.24E-02
200.803,8.013,267.1,6.27E-02
201.802,8.025,267.5,6.30E-02
202.8,8.038,267.9333333,6.32E-02
203.8,8.048,268.2666667,6.34E-02
204.799,8.057,268.5666667,6.37E-02
205.798,8.066,268.8666667,6.40E-02
206.796,8.078,269.2666667,6.44E-02
207.796,8.09,269.6666667,6.47E-02
208.794,8.103,270.1,6.50E-02
209.794,8.113,270.4333333,6.54E-02
210.793,8.123,270.7666667,6.57E-02
211.792,8.134,271.1333333,6.60E-02
212.791,8.145,271.5,6.63E-02
213.789,8.154,271.8,6.68E-02
214.789,8.164,272.1333333,6.71E-02
215.787,8.173,272.4333333,6.75E-02
216.786,8.183,272.7666667,6.79E-02
217.785,8.193,273.1,6.82E-02
218.783,8.202,273.4,6.87E-02
219.783,8.211,273.7,6.90E-02
220.78,8.22,274,6.93E-02
221.781,8.229,274.3,6.96E-02
222.781,8.237,274.5666667,6.99E-02
223.779,8.245,274.8333333,7.04E-02
224.779,8.253,275.1,7.07E-02
225.778,8.262,275.4,7.10E-02
226.777,8.272,275.7333333,7.13E-02
227.775,8.278,275.9333333,7.16E-02
228.775,8.287,276.2333333,7.19E-02
229.774,8.295,276.5,7.24E-02
230.773,8.303,276.7666667,7.27E-02
231.771,8.311,277.0333333,7.30E-02
232.77,8.318,277.2666667,7.33E-02
233.77,8.327,277.5666667,7.36E-02
