Time,Load,Stress,Strain
0,0,0,0
0.999,0.304,10.13333333,2.60E-05
1.997,0.706,23.53333333,9.64E-05
2.997,1.031,34.36666667,1.28E-04
3.996,1.333,44.43333333,3.07E-04
4.994,1.635,54.5,3.12E-04
5.993,1.942,64.73333333,5.13E-04
6.992,2.25,75,5.31E-04
7.993,2.565,85.5,5.10E-04
8.991,2.881,96.03333333,5.99E-04
9.99,3.197,106.5666667,5.91E-04
10.989,3.519,117.3,8.18E-04
11.987,3.828,127.6,9.77E-04
12.987,4.078,135.9333333,7.73E-04
13.986,4.328,144.2666667,7.16E-04
14.984,4.578,152.6,7.00E-04
15.984,4.828,160.9333333,7.93E-04
16.982,5.078,169.2666667,9.74E-04
17.983,5.328,177.6,1.15E-03
18.981,5.578,185.9333333,1.27E-03
19.98,5.823,194.1,1.18E-03
20.979,6.062,202.0666667,9.17E-04
21.979,6.295,209.8333333,8.99E-04
22.977,6.534,217.8,8.31E-04
23.977,6.775,225.8333333,1.05E-03
24.975,7.017,233.9,1.41E-03
25.974,7.263,242.1,1.81E-03
26.973,7.512,250.4,1.74E-03
27.973,7.761,258.7,1.53E-03
28.972,8.013,267.1,1.30E-03
29.971,8.27,275.6666667,1.17E-03
30.97,8.529,284.3,1.32E-03
31.968,8.79,293,1.49E-03
32.968,9.044,301.4666667,1.66E-03
33.966,9.293,309.7666667,1.87E-03
34.965,9.54,318,1.74E-03
35.965,9.78,326,1.58E-03
36.964,10.002,333.4,1.45E-03
37.962,10.199,339.9666667,1.57E-03
38.962,10.387,346.2333333,1.82E-03
39.96,10.535,351.1666667,2.08E-03
40.959,10.627,354.2333333,1.86E-03
41.959,10.672,355.7333333,1.59E-03
42.957,10.68,356,1.76E-03
43.957,10.653,355.1,1.97E-03
44.955,10.516,350.5333333,1.70E-03
45.955,10.428,347.6,1.49E-03
46.954,10.459,348.6333333,1.70E-03
47.953,10.492,349.7333333,2.09E-03
48.952,10.512,350.4,1.79E-03
49.951,10.523,350.7666667,1.58E-03
50.95,10.533,351.1,1.67E-03
51.949,10.532,351.0666667,1.85E-03
52.948,10.542,351.4,1.81E-03
53.947,10.494,349.8,1.54E-03
54.946,10.383,346.1,1.60E-03
55.944,10.304,343.4666667,1.78E-03
56.945,10.277,342.5666667,1.73E-03
57.943,10.262,342.0666667,1.63E-03
58.941,10.243,341.4333333,1.65E-03
59.94,10.246,341.5333333,1.70E-03
60.94,10.254,341.8,1.31E-03
61.939,10.268,342.2666667,1.43E-03
62.937,10.285,342.8333333,1.63E-03
63.936,10.312,343.7333333,1.75E-03
64.934,10.338,344.6,1.51E-03
65.934,10.346,344.8666667,1.46E-03
66.933,10.319,343.9666667,1.69E-03
67.933,10.296,343.2,1.72E-03
68.931,10.275,342.5,1.52E-03
69.931,10.244,341.4666667,1.49E-03
70.93,10.24,341.3333333,1.58E-03
71.929,10.231,341.0333333,1.41E-03
72.927,10.226,340.8666667,9.87E-04
73.927,10.252,341.7333333,8.63E-04
74.926,10.284,342.8,1.41E-03
75.924,10.304,343.4666667,2.21E-03
76.924,10.274,342.4666667,3.07E-03
77.922,10.248,341.6,4.30E-03
78.923,10.231,341.0333333,6.46E-03
79.921,10.227,340.9,8.38E-03
80.92,10.239,341.3,1.02E-02
81.92,10.27,342.3333333,1.17E-02
82.918,10.295,343.1666667,1.37E-02
83.917,10.305,343.5,1.57E-02
84.914,10.319,343.9666667,1.75E-02
85.915,10.329,344.3,1.91E-02
86.914,10.339,344.6333333,2.07E-02
87.913,10.347,344.9,2.26E-02
88.913,10.361,345.3666667,2.42E-02
89.911,10.373,345.7666667,2.60E-02
90.911,10.375,345.8333333,2.76E-02
91.909,10.375,345.8333333,2.92E-02
92.908,10.36,345.3333333,3.13E-02
93.907,10.345,344.8333333,3.35E-02
94.906,10.343,344.7666667,3.55E-02
95.904,10.321,344.0333333,3.78E-02
96.905,10.285,342.8333333,4.01E-02
97.904,10.27,342.3333333,4.26E-02
98.903,10.288,342.9333333,4.47E-02
99.902,10.301,343.3666667,4.65E-02
100.901,10.314,343.8,4.81E-02
101.899,10.322,344.0666667,4.98E-02
