Time,Load,Stress,Strain
0,0,0,0
1,0.21,7,5.76E-05
1.998,0.703,23.43333333,1.34E-04
2.998,1.286,42.86666667,1.53E-04
3.997,1.851,61.7,2.29E-04
4.996,2.378,79.26666667,2.99E-04
5.997,2.864,95.46666667,3.77E-04
6.993,3.313,110.4333333,4.68E-04
7.995,3.742,124.7333333,5.37E-04
8.993,4.147,138.2333333,5.37E-04
9.992,4.489,149.6333333,5.71E-04
10.99,4.777,159.2333333,5.88E-04
11.989,5.062,168.7333333,6.63E-04
12.99,5.347,178.2333333,8.52E-04
13.989,5.633,187.7666667,7.91E-04
14.987,5.92,197.3333333,7.23E-04
15.986,6.209,206.9666667,7.00E-04
16.984,6.503,216.7666667,7.38E-04
17.984,6.798,226.6,9.13E-04
18.981,7.093,236.4333333,1.11E-03
19.982,7.388,246.2666667,1.04E-03
20.98,7.685,256.1666667,1.00E-03
21.98,7.983,266.1,9.08E-04
22.977,8.281,276.0333333,1.03E-03
23.977,8.578,285.9333333,1.27E-03
24.976,8.861,295.3666667,1.43E-03
25.974,9.121,304.0333333,1.23E-03
26.973,9.388,312.9333333,1.10E-03
27.974,9.642,321.4,1.08E-03
28.972,9.883,329.4333333,1.31E-03
29.971,10.107,336.9,1.53E-03
30.971,10.313,343.7666667,1.42E-03
31.97,10.5,350,1.27E-03
32.969,10.669,355.6333333,1.24E-03
33.969,10.83,361,1.45E-03
34.966,10.975,365.8333333,1.54E-03
35.967,11.095,369.8333333,1.28E-03
36.964,10.988,366.2666667,1.19E-03
37.964,10.853,361.7666667,1.17E-03
38.964,10.79,359.6666667,1.19E-03
39.962,10.739,357.9666667,1.19E-03
40.96,10.691,356.3666667,1.14E-03
41.959,10.63,354.3333333,1.14E-03
42.958,10.514,350.4666667,1.14E-03
43.957,10.494,349.8,1.12E-03
44.956,10.481,349.3666667,1.17E-03
45.957,10.502,350.0666667,1.17E-03
46.955,10.487,349.5666667,1.17E-03
47.954,10.391,346.3666667,1.13E-03
48.952,10.367,345.5666667,1.17E-03
49.951,10.381,346.0333333,1.20E-03
50.95,10.43,347.6666667,1.21E-03
51.949,10.422,347.4,1.19E-03
52.948,10.379,345.9666667,1.17E-03
53.948,10.374,345.8,1.17E-03
54.948,10.367,345.5666667,1.13E-03
55.945,10.369,345.6333333,1.17E-03
56.943,10.377,345.9,1.13E-03
57.944,10.385,346.1666667,1.16E-03
58.941,10.373,345.7666667,1.16E-03
