Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	00-01
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1326.3
Rm(MPa)	395
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.646
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.015	0.0000	0.002	0.477	0.000	0.477	0.000
0.999	0.304	0.0000	0.018	9.928	0.000	9.928	0.000
1.997	0.706	0.0000	0.048	23.062	0.000	23.062	0.000
2.997	1.031	0.0000	0.082	33.676	0.000	33.676	0.000
3.996	1.333	0.0000	0.115	43.552	0.000	43.552	0.000
4.994	1.635	0.0000	0.148	53.428	0.000	53.428	0.000
5.993	1.942	0.0000	0.182	63.454	0.000	63.454	0.000
6.992	2.250	0.0000	0.215	73.516	0.000	73.516	0.000
7.993	2.565	0.0000	0.248	83.827	0.000	83.827	0.000
8.991	2.881	0.0000	0.281	94.141	0.000	94.141	0.000
9.99	3.197	0.0000	0.315	104.467	0.000	104.467	0.000
10.989	3.519	0.0000	0.348	114.990	0.000	114.990	0.000
11.987	3.828	0.0000	0.381	125.088	0.000	125.088	0.000
12.987	4.078	0.0000	0.415	133.265	0.000	133.265	0.000
13.986	4.328	0.0000	0.448	141.422	0.000	141.422	0.000
14.984	4.578	0.0000	0.481	149.592	0.000	149.592	0.000
15.984	4.828	0.0000	0.515	157.761	0.000	157.761	0.000
16.982	5.078	0.0000	0.548	165.941	0.000	165.941	0.000
17.983	5.328	0.0000	0.581	174.101	0.000	174.101	0.000
18.981	5.578	0.0000	0.615	182.271	0.000	182.271	0.000
19.98	5.823	0.0000	0.648	190.304	0.000	190.304	0.000
20.979	6.062	0.0000	0.681	198.108	0.000	198.108	0.000
