Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	00-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1358.1
Rm(MPa)	405
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	0.987
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.009	0.0000	0.002	0.288	0.000	0.288	0.000
1	0.210	0.0000	0.018	6.850	0.000	6.850	0.000
1.998	0.703	0.0000	0.048	22.984	0.000	22.984	0.000
2.998	1.286	0.0000	0.082	42.023	0.000	42.023	0.000
3.997	1.851	0.0000	0.115	60.487	0.000	60.487	0.000
4.996	2.378	0.0000	0.148	77.696	0.000	77.696	0.000
5.997	2.864	0.0000	0.182	93.605	0.000	93.605	0.000
6.993	3.313	0.0000	0.215	108.281	0.000	108.281	0.000
7.995	3.742	0.0000	0.248	122.278	0.000	122.278	0.000
8.993	4.147	0.0000	0.281	135.520	0.000	135.520	0.000
9.992	4.489	0.0000	0.315	146.686	0.000	146.686	0.000
10.99	4.777	0.0000	0.348	156.095	0.000	156.095	0.000
11.989	5.062	0.0000	0.381	165.415	0.000	165.415	0.000
12.99	5.347	0.0000	0.415	174.722	0.000	174.722	0.000
13.989	5.633	0.0000	0.448	184.092	0.000	184.092	0.000
14.987	5.920	0.0000	0.481	193.464	0.000	193.464	0.000
15.986	6.209	0.0000	0.515	202.915	0.000	202.915	0.000
16.984	6.503	0.0000	0.548	212.507	0.000	212.507	0.000
17.984	6.798	0.0000	0.581	222.167	0.000	222.167	0.000
18.981	7.093	0.0000	0.615	231.797	0.000	231.797	0.000
19.982	7.388	0.0000	0.648	241.448	0.000	241.448	0.000
20.98	7.685	0.0000	0.681	251.144	0.000	251.144	0.000
21.98	7.983	0.0000	0.714	260.889	0.000	260.889	0.000
22.977	8.281	0.0000	0.748	270.614	0.000	270.614	0.000
23.977	8.578	0.0000	0.781	280.330	0.000	280.330	0.000
24.976	8.861	0.0000	0.814	289.565	0.000	289.565	0.000
25.974	9.121	0.0000	0.848	298.056	0.000	298.056	0.000
26.973	9.388	0.0000	0.881	306.797	0.000	306.797	0.000
27.974	9.642	0.0000	0.914	315.111	0.000	315.111	0.000
28.972	9.883	0.0000	0.948	322.961	0.000	322.961	0.000
29.971	10.107	0.0000	0.981	330.301	0.000	330.301	0.000
30.971	10.313	0.0000	1.014	337.010	0.000	337.010	0.000
31.97	10.500	0.0000	1.047	343.134	0.000	343.134	0.000
32.969	10.669	0.0000	1.081	348.650	0.000	348.650	0.000
33.969	10.830	0.0000	1.114	353.905	0.000	353.905	0.000
34.966	10.975	0.0000	1.147	358.670	0.000	358.670	0.000
35.967	11.095	0.0000	1.181	362.569	0.000	362.569	0.000
36.964	10.988	0.0000	1.214	359.072	0.000	359.072	0.000
37.964	10.853	0.0000	1.247	354.660	0.000	354.660	0.000
38.964	10.790	0.0000	1.281	352.605	0.000	352.605	0.000
39.962	10.739	0.0000	1.314	350.938	0.000	350.938	0.000
40.96	10.691	0.0000	1.347	349.386	0.000	349.386	0.000
41.959	10.630	0.0000	1.380	347.389	0.000	347.389	0.000
42.958	10.514	0.0000	1.414	343.582	0.000	343.582	0.000
43.957	10.494	0.0000	1.447	342.948	0.000	342.948	0.000
44.956	10.481	0.0000	1.480	342.516	0.000	342.516	0.000
45.957	10.502	0.0000	1.514	343.216	0.000	343.216	0.000
46.955	10.487	0.0000	1.547	342.722	0.000	342.722	0.000
47.954	10.391	0.0000	1.580	339.578	0.000	339.578	0.000
48.952	10.367	0.0000	1.614	338.778	0.000	338.778	0.000
49.951	10.381	0.0000	1.647	339.239	0.000	339.239	0.000
50.95	10.430	0.0000	1.680	340.850	0.000	340.850	0.000
51.949	10.422	0.0000	1.713	340.601	0.000	340.601	0.000
52.948	10.379	0.0000	1.747	339.183	0.000	339.183	0.000
53.948	10.374	0.0000	1.780	339.029	0.000	339.029	0.000
54.948	10.367	0.0000	1.813	338.784	0.000	338.784	0.000
55.945	10.369	0.0000	1.847	338.869	0.000	338.869	0.000
56.943	10.377	0.0000	1.880	339.127	0.000	339.127	0.000
57.944	10.385	0.0000	1.913	339.366	0.000	339.366	0.000
58.941	10.373	0.0000	1.947	339.000	0.000	339.000	0.000
59.941	10.357	0.0000	1.980	338.471	0.000	338.471	0.000
60.94	10.376	0.0000	2.013	339.091	0.000	339.091	0.000
61.939	10.425	0.0000	2.046	340.670	0.000	340.670	0.000
62.938	10.459	0.0000	2.080	341.801	0.000	341.801	0.000
63.938	10.487	0.0000	2.113	342.696	0.000	342.696	0.000
64.936	10.502	0.0000	2.146	343.199	0.000	343.199	0.000
65.935	10.495	0.0000	2.180	342.974	0.000	342.974	0.000
66.936	10.492	0.0000	2.213	342.869	0.000	342.869	0.000
67.933	10.466	0.0000	2.246	342.039	0.000	342.039	0.000
68.933	10.453	0.0000	2.280	341.605	0.000	341.605	0.000
69.93	10.426	0.0000	2.313	340.712	0.000	340.712	0.000
70.931	10.378	0.0000	2.346	339.160	0.000	339.160	0.000
71.93	10.361	0.0000	2.379	338.578	0.000	338.578	0.000
72.929	10.395	0.0000	2.413	339.712	0.000	339.712	0.000
73.929	10.434	0.0000	2.446	340.974	0.000	340.974	0.000
74.927	10.459	0.0000	2.479	341.794	0.000	341.794	0.000
75.926	10.461	0.0000	2.513	341.866	0.000	341.866	0.000
76.926	10.443	0.0000	2.546	341.261	0.000	341.261	0.000
77.924	10.429	0.0000	2.579	340.810	0.000	340.810	0.000
78.922	10.440	0.0000	2.613	341.176	0.000	341.176	0.000
79.922	10.446	0.0000	2.646	341.373	0.000	341.373	0.000
80.92	10.431	0.0000	2.679	340.889	0.000	340.889	0.000
81.922	10.425	0.0000	2.712	340.670	0.000	340.670	0.000
82.921	10.460	0.0000	2.746	341.840	0.000	341.840	0.000
83.919	10.501	0.0000	2.779	343.167	0.000	343.167	0.000
84.916	10.536	0.0000	2.812	344.320	0.000	344.320	0.000
85.916	10.551	0.0000	2.846	344.797	0.000	344.797	0.000
86.916	10.560	0.0000	2.879	345.088	0.000	345.088	0.000
87.915	10.534	0.0000	2.912	344.252	0.000	344.252	0.000
88.914	10.513	0.0000	2.946	343.565	0.000	343.565	0.000
89.913	10.521	0.0000	2.979	343.833	0.000	343.833	0.000
90.912	10.507	0.0000	3.012	343.376	0.000	343.376	0.000
91.911	10.475	0.0000	3.045	342.317	0.000	342.317	0.000
92.911	10.472	0.0000	3.079	342.219	0.000	342.219	0.000
93.909	10.491	0.0000	3.112	342.830	0.000	342.830	0.000
94.909	10.503	0.0000	3.145	343.245	0.000	343.245	0.000
95.907	10.506	0.0000	3.179	343.320	0.000	343.320	0.000
96.907	10.507	0.0000	3.212	343.376	0.000	343.376	0.000
97.905	10.495	0.0000	3.245	342.964	0.000	342.964	0.000
98.904	10.490	0.0000	3.279	342.810	0.000	342.810	0.000
99.902	10.502	0.0000	3.312	343.212	0.000	343.212	0.000
100.902	10.530	0.0000	3.345	344.131	0.000	344.131	0.000
101.902	10.553	0.0000	3.378	344.882	0.000	344.882	0.000
102.899	10.549	0.0000	3.412	344.748	0.000	344.748	0.000
103.899	10.547	0.0000	3.445	344.686	0.000	344.686	0.000
104.897	10.552	0.0000	3.478	344.824	0.000	344.824	0.000
105.897	10.556	0.0000	3.512	344.958	0.000	344.958	0.000
106.897	10.555	0.0000	3.545	344.935	0.000	344.935	0.000
107.894	10.552	0.0000	3.578	344.833	0.000	344.833	0.000
108.894	10.522	0.0000	3.612	343.859	0.000	343.859	0.000
109.892	10.509	0.0000	3.645	343.441	0.000	343.441	0.000
110.892	10.499	0.0000	3.678	343.101	0.000	343.101	0.000
111.891	10.491	0.0000	3.711	342.840	0.000	342.840	0.000
112.889	10.486	0.0000	3.745	342.676	0.000	342.676	0.000
113.889	10.509	0.0000	3.778	343.428	0.000	343.428	0.000
114.887	10.531	0.0000	3.811	344.160	0.000	344.160	0.000
115.886	10.510	0.0000	3.845	343.458	0.000	343.458	0.000
116.885	10.494	0.0000	3.878	342.941	0.000	342.941	0.000
117.885	10.488	0.0000	3.911	342.745	0.000	342.745	0.000
118.883	10.480	0.0000	3.945	342.493	0.000	342.493	0.000
119.884	10.479	0.0000	3.978	342.461	0.000	342.461	0.000
120.883	10.473	0.0000	4.011	342.268	0.000	342.268	0.000
121.88	10.492	0.0000	4.044	342.879	0.000	342.879	0.000
122.879	10.515	0.0000	4.078	343.634	0.000	343.634	0.000
123.877	10.533	0.0000	4.111	344.199	0.000	344.199	0.000
124.879	10.541	0.0000	4.144	344.487	0.000	344.487	0.000
125.876	10.547	0.0000	4.178	344.667	0.000	344.667	0.000
126.876	10.549	0.0000	4.211	344.722	0.000	344.722	0.000
127.875	10.554	0.0000	4.244	344.886	0.000	344.886	0.000
