Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	90-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1328.5
Rm(MPa)	396
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.097
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.010	0.0000	0.002	0.330	0.000	0.330	0.000
0.999	0.238	0.0000	0.018	7.768	0.000	7.768	0.000
1.996	0.778	0.0000	0.048	25.408	0.000	25.408	0.000
2.996	1.363	0.0000	0.082	44.542	0.000	44.542	0.000
3.995	1.928	0.0000	0.115	63.013	0.000	63.013	0.000
4.994	2.463	0.0000	0.148	80.484	0.000	80.484	0.000
5.994	2.974	0.0000	0.182	97.203	0.000	97.203	0.000
6.991	3.454	0.0000	0.215	112.876	0.000	112.876	0.000
7.99	3.915	0.0000	0.248	127.931	0.000	127.931	0.000
8.99	4.325	0.0000	0.281	141.333	0.000	141.333	0.000
9.989	4.667	0.0000	0.315	152.507	0.000	152.507	0.000
10.987	4.997	0.0000	0.348	163.291	0.000	163.291	0.000
11.988	5.321	0.0000	0.381	173.889	0.000	173.889	0.000
12.987	5.640	0.0000	0.415	184.304	0.000	184.304	0.000
13.985	5.948	0.0000	0.448	194.373	0.000	194.373	0.000
14.985	6.252	0.0000	0.481	204.314	0.000	204.314	0.000
15.983	6.557	0.0000	0.515	214.291	0.000	214.291	0.000
16.983	6.862	0.0000	0.548	224.242	0.000	224.242	0.000
17.982	7.168	0.0000	0.581	234.261	0.000	234.261	0.000
18.98	7.476	0.0000	0.615	244.324	0.000	244.324	0.000
19.98	7.784	0.0000	0.648	254.379	0.000	254.379	0.000
20.979	8.091	0.0000	0.681	264.418	0.000	264.418	0.000
21.979	8.398	0.0000	0.714	274.448	0.000	274.448	0.000
22.977	8.705	0.0000	0.748	284.490	0.000	284.490	0.000
23.975	9.015	0.0000	0.781	294.601	0.000	294.601	0.000
24.975	9.321	0.0000	0.814	304.611	0.000	304.611	0.000
25.973	9.573	0.0000	0.848	312.853	0.000	312.853	0.000
26.971	9.751	0.0000	0.881	318.657	0.000	318.657	0.000
27.971	9.964	0.0000	0.914	325.627	0.000	325.627	0.000
28.969	10.164	0.0000	0.948	332.150	0.000	332.150	0.000
29.97	10.352	0.0000	0.981	338.291	0.000	338.291	0.000
30.969	10.522	0.0000	1.014	343.846	0.000	343.846	0.000
31.968	10.685	0.0000	1.047	349.176	0.000	349.176	0.000
32.967	10.833	0.0000	1.081	354.029	0.000	354.029	0.000
33.966	10.974	0.0000	1.114	358.641	0.000	358.641	0.000
34.964	11.107	0.0000	1.147	362.967	0.000	362.967	0.000
