Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-01
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1035.0
Rm(MPa)	308
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	2.194
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.020	0.0000	0.002	0.667	0.000	0.667	0.000
0.998	0.343	0.0000	0.018	11.216	0.000	11.216	0.000
1.998	0.934	0.0000	0.048	30.520	0.000	30.520	0.000
2.998	1.415	0.0000	0.082	46.245	0.000	46.245	0.000
3.997	1.692	0.0000	0.115	55.304	0.000	55.304	0.000
4.995	1.940	0.0000	0.148	63.402	0.000	63.402	0.000
5.995	2.176	0.0000	0.182	71.114	0.000	71.114	0.000
6.994	2.401	0.0000	0.215	78.461	0.000	78.461	0.000
7.991	2.622	0.0000	0.248	85.686	0.000	85.686	0.000
8.992	2.845	0.0000	0.281	92.967	0.000	92.967	0.000
9.991	3.072	0.0000	0.315	100.376	0.000	100.376	0.000
10.988	3.300	0.0000	0.348	107.843	0.000	107.843	0.000
11.989	3.531	0.0000	0.381	115.389	0.000	115.389	0.000
12.988	3.765	0.0000	0.415	123.029	0.000	123.029	0.000
13.988	4.003	0.0000	0.448	130.807	0.000	130.807	0.000
14.985	4.242	0.0000	0.481	138.631	0.000	138.631	0.000
15.985	4.485	0.0000	0.515	146.562	0.000	146.562	0.000
16.985	4.731	0.0000	0.548	154.601	0.000	154.601	0.000
17.982	4.972	0.0000	0.581	162.471	0.000	162.471	0.000
18.981	5.212	0.0000	0.615	170.340	0.000	170.340	0.000
19.981	5.455	0.0000	0.648	178.275	0.000	178.275	0.000
20.979	5.699	0.0000	0.681	186.252	0.000	186.252	0.000
21.977	5.942	0.0000	0.714	194.173	0.000	194.173	0.000
22.977	6.182	0.0000	0.748	202.036	0.000	202.036	0.000
23.976	6.412	0.0000	0.781	209.533	0.000	209.533	0.000
24.975	6.632	0.0000	0.814	216.739	0.000	216.739	0.000
25.974	6.848	0.0000	0.848	223.784	0.000	223.784	0.000
26.974	7.054	0.0000	0.881	230.516	0.000	230.516	0.000
27.972	7.245	0.0000	0.914	236.771	0.000	236.771	0.000
28.971	7.422	0.0000	0.948	242.542	0.000	242.542	0.000
29.971	7.589	0.0000	0.981	248.016	0.000	248.016	0.000
30.969	7.745	0.0000	1.014	253.108	0.000	253.108	0.000
31.97	7.879	0.0000	1.047	257.487	0.000	257.487	0.000
32.967	7.969	0.0000	1.081	260.435	0.000	260.435	0.000
33.967	7.978	0.0000	1.114	260.703	0.000	260.703	0.000
34.966	7.938	0.0000	1.147	259.422	0.000	259.422	0.000
35.966	7.939	0.0000	1.181	259.454	0.000	259.454	0.000
36.964	7.987	0.0000	1.214	261.000	0.000	261.000	0.000
37.962	8.026	0.0000	1.247	262.281	0.000	262.281	0.000
38.962	8.071	0.0000	1.281	263.752	0.000	263.752	0.000
39.961	8.098	0.0000	1.314	264.634	0.000	264.634	0.000
40.96	8.114	0.0000	1.347	265.167	0.000	265.167	0.000
41.959	8.067	0.0000	1.381	263.641	0.000	263.641	0.000
42.958	8.040	0.0000	1.414	262.745	0.000	262.745	0.000
43.957	8.041	0.0000	1.447	262.768	0.000	262.768	0.000
44.955	8.053	0.0000	1.480	263.183	0.000	263.183	0.000
45.954	8.073	0.0000	1.514	263.830	0.000	263.830	0.000
46.955	8.082	0.0000	1.547	264.124	0.000	264.124	0.000
47.953	8.000	0.0000	1.580	261.444	0.000	261.444	0.000
48.951	7.916	0.0000	1.614	258.686	0.000	258.686	0.000
49.952	7.857	0.0000	1.647	256.771	0.000	256.771	0.000
50.951	7.892	0.0000	1.680	257.905	0.000	257.905	0.000
