Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	90-01
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1406.4
Rm(MPa)	419
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.536
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.014	0.0000	0.002	0.448	0.000	0.448	0.000
0.999	0.306	0.0000	0.018	9.990	0.000	9.990	0.000
1.998	0.817	0.0000	0.048	26.683	0.000	26.683	0.000
2.997	1.300	0.0000	0.082	42.487	0.000	42.487	0.000
3.995	1.808	0.0000	0.115	59.088	0.000	59.088	0.000
4.995	2.355	0.0000	0.148	76.954	0.000	76.954	0.000
5.994	2.889	0.0000	0.182	94.408	0.000	94.408	0.000
6.993	3.402	0.0000	0.215	111.176	0.000	111.176	0.000
7.991	3.887	0.0000	0.248	127.020	0.000	127.020	0.000
8.991	4.358	0.0000	0.281	142.425	0.000	142.425	0.000
9.99	4.813	0.0000	0.315	157.281	0.000	157.281	0.000
10.99	5.223	0.0000	0.348	170.699	0.000	170.699	0.000
11.989	5.555	0.0000	0.381	181.533	0.000	181.533	0.000
12.987	5.879	0.0000	0.415	192.131	0.000	192.131	0.000
13.984	6.198	0.0000	0.448	202.556	0.000	202.556	0.000
14.984	6.516	0.0000	0.481	212.944	0.000	212.944	0.000
15.985	6.829	0.0000	0.515	223.157	0.000	223.157	0.000
16.984	7.131	0.0000	0.548	233.023	0.000	233.023	0.000
17.981	7.434	0.0000	0.581	242.941	0.000	242.941	0.000
18.981	7.738	0.0000	0.615	252.889	0.000	252.889	0.000
19.98	8.042	0.0000	0.648	262.814	0.000	262.814	0.000
20.98	8.350	0.0000	0.681	272.866	0.000	272.866	0.000
21.978	8.661	0.0000	0.714	283.039	0.000	283.039	0.000
22.977	8.973	0.0000	0.748	293.242	0.000	293.242	0.000
23.976	9.288	0.0000	0.781	303.529	0.000	303.529	0.000
24.974	9.604	0.0000	0.814	313.866	0.000	313.866	0.000
25.974	9.922	0.0000	0.848	324.252	0.000	324.252	0.000
26.974	10.239	0.0000	0.881	334.595	0.000	334.595	0.000
27.973	10.551	0.0000	0.914	344.807	0.000	344.807	0.000
28.971	10.807	0.0000	0.948	353.163	0.000	353.163	0.000
29.969	11.031	0.0000	0.981	360.480	0.000	360.480	0.000
30.968	11.258	0.0000	1.014	367.922	0.000	367.922	0.000
31.969	11.462	0.0000	1.047	374.565	0.000	374.565	0.000
32.967	11.641	0.0000	1.081	380.438	0.000	380.438	0.000
33.966	11.779	0.0000	1.114	384.938	0.000	384.938	0.000
34.965	11.853	0.0000	1.147	387.343	0.000	387.343	0.000
35.964	11.861	0.0000	1.181	387.611	0.000	387.611	0.000
36.962	11.831	0.0000	1.214	386.647	0.000	386.647	0.000
37.963	11.779	0.0000	1.247	384.935	0.000	384.935	0.000
38.96	11.711	0.0000	1.281	382.725	0.000	382.725	0.000
39.961	11.692	0.0000	1.314	382.105	0.000	382.105	0.000
40.959	11.676	0.0000	1.347	381.575	0.000	381.575	0.000
41.959	11.587	0.0000	1.380	378.673	0.000	378.673	0.000
42.957	11.269	0.0000	1.414	368.278	0.000	368.278	0.000
43.957	11.029	0.0000	1.447	360.415	0.000	360.415	0.000
44.955	11.020	0.0000	1.480	360.131	0.000	360.131	0.000
45.955	11.020	0.0000	1.514	360.131	0.000	360.131	0.000
46.954	11.017	0.0000	1.547	360.042	0.000	360.042	0.000
47.951	11.026	0.0000	1.580	360.324	0.000	360.324	0.000
48.95	11.004	0.0000	1.614	359.605	0.000	359.605	0.000
49.949	10.992	0.0000	1.647	359.225	0.000	359.225	0.000
50.95	11.003	0.0000	1.680	359.569	0.000	359.569	0.000
51.947	11.016	0.0000	1.713	360.003	0.000	360.003	0.000
52.947	11.033	0.0000	1.747	360.549	0.000	360.549	0.000
53.948	11.052	0.0000	1.780	361.180	0.000	361.180	0.000
54.946	11.072	0.0000	1.813	361.817	0.000	361.817	0.000
55.945	11.083	0.0000	1.847	362.193	0.000	362.193	0.000
56.943	11.079	0.0000	1.880	362.052	0.000	362.052	0.000
57.943	11.065	0.0000	1.913	361.601	0.000	361.601	0.000
58.941	11.065	0.0000	1.947	361.601	0.000	361.601	0.000
59.94	11.065	0.0000	1.980	361.601	0.000	361.601	0.000
60.938	11.047	0.0000	2.013	361.010	0.000	361.010	0.000
61.937	11.036	0.0000	2.046	360.667	0.000	360.667	0.000
62.936	10.964	0.0000	2.080	358.291	0.000	358.291	0.000
63.937	10.906	0.0000	2.113	356.408	0.000	356.408	0.000
64.934	10.910	0.0000	2.146	356.536	0.000	356.536	0.000
65.934	10.934	0.0000	2.180	357.324	0.000	357.324	0.000
66.934	10.956	0.0000	2.213	358.049	0.000	358.049	0.000
67.932	10.969	0.0000	2.246	358.464	0.000	358.464	0.000
68.931	10.930	0.0000	2.280	357.176	0.000	357.176	0.000
69.931	10.905	0.0000	2.313	356.363	0.000	356.363	0.000
70.93	10.918	0.0000	2.346	356.784	0.000	356.784	0.000
71.927	10.929	0.0000	2.379	357.160	0.000	357.160	0.000
72.927	10.930	0.0000	2.413	357.173	0.000	357.173	0.000
73.927	10.935	0.0000	2.446	357.353	0.000	357.353	0.000
74.924	10.940	0.0000	2.479	357.529	0.000	357.529	0.000
75.923	10.926	0.0000	2.513	357.042	0.000	357.042	0.000
76.923	10.933	0.0000	2.546	357.291	0.000	357.291	0.000
77.921	10.929	0.0000	2.579	357.141	0.000	357.141	0.000
78.92	10.924	0.0000	2.613	357.007	0.000	357.007	0.000
79.92	10.949	0.0000	2.646	357.804	0.000	357.804	0.000
80.918	10.977	0.0000	2.679	358.739	0.000	358.739	0.000
81.919	10.999	0.0000	2.712	359.441	0.000	359.441	0.000
82.917	11.013	0.0000	2.746	359.902	0.000	359.902	0.000
