Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	90-03
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1531.4
Rm(MPa)	456
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.426
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.013	0.0000	0.002	0.435	0.000	0.435	0.000
0.997	0.313	0.0000	0.018	10.229	0.000	10.229	0.000
1.998	0.839	0.0000	0.048	27.412	0.000	27.412	0.000
2.998	1.356	0.0000	0.082	44.304	0.000	44.304	0.000
3.997	1.836	0.0000	0.115	59.990	0.000	59.990	0.000
4.996	2.369	0.0000	0.148	77.425	0.000	77.425	0.000
5.993	2.906	0.0000	0.182	94.961	0.000	94.961	0.000
6.993	3.435	0.0000	0.215	112.268	0.000	112.268	0.000
7.992	3.948	0.0000	0.248	129.013	0.000	129.013	0.000
8.992	4.436	0.0000	0.282	144.954	0.000	144.954	0.000
9.991	4.907	0.0000	0.315	160.373	0.000	160.373	0.000
10.989	5.366	0.0000	0.348	175.373	0.000	175.373	0.000
11.989	5.755	0.0000	0.381	188.075	0.000	188.075	0.000
12.988	6.093	0.0000	0.415	199.101	0.000	199.101	0.000
13.987	6.428	0.0000	0.448	210.072	0.000	210.072	0.000
14.986	6.759	0.0000	0.481	220.882	0.000	220.882	0.000
15.983	7.082	0.0000	0.515	231.435	0.000	231.435	0.000
16.984	7.399	0.0000	0.548	241.801	0.000	241.801	0.000
17.983	7.711	0.0000	0.581	251.990	0.000	251.990	0.000
18.979	8.017	0.0000	0.615	261.990	0.000	261.990	0.000
19.981	8.325	0.0000	0.648	272.065	0.000	272.065	0.000
20.98	8.634	0.0000	0.681	282.150	0.000	282.150	0.000
21.979	8.943	0.0000	0.715	292.255	0.000	292.255	0.000
22.977	9.250	0.0000	0.748	302.291	0.000	302.291	0.000
23.977	9.543	0.0000	0.781	311.869	0.000	311.869	0.000
24.976	9.832	0.0000	0.814	321.291	0.000	321.291	0.000
25.975	10.109	0.0000	0.848	330.363	0.000	330.363	0.000
26.973	10.383	0.0000	0.881	339.297	0.000	339.297	0.000
27.973	10.636	0.0000	0.914	347.582	0.000	347.582	0.000
28.972	10.871	0.0000	0.948	355.271	0.000	355.271	0.000
29.971	11.091	0.0000	0.981	362.448	0.000	362.448	0.000
30.97	11.288	0.0000	1.014	368.882	0.000	368.882	0.000
31.969	11.460	0.0000	1.048	374.513	0.000	374.513	0.000
32.968	11.619	0.0000	1.081	379.690	0.000	379.690	0.000
33.967	11.768	0.0000	1.114	384.569	0.000	384.569	0.000
34.966	11.916	0.0000	1.147	389.425	0.000	389.425	0.000
35.965	12.066	0.0000	1.181	394.307	0.000	394.307	0.000
36.964	12.199	0.0000	1.214	398.657	0.000	398.657	0.000
37.963	12.280	0.0000	1.247	401.297	0.000	401.297	0.000
