Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-03
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1009.8
Rm(MPa)	301
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.646
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.015	0.0000	0.002	0.490	0.000	0.490	0.000
1	0.346	0.0000	0.018	11.291	0.000	11.291	0.000
1.999	0.971	0.0000	0.048	31.729	0.000	31.729	0.000
2.998	1.527	0.0000	0.082	49.908	0.000	49.908	0.000
3.997	1.915	0.0000	0.115	62.582	0.000	62.582	0.000
4.996	2.237	0.0000	0.148	73.095	0.000	73.095	0.000
5.995	2.531	0.0000	0.181	82.719	0.000	82.719	0.000
6.994	2.820	0.0000	0.215	92.170	0.000	92.170	0.000
7.993	3.110	0.0000	0.248	101.647	0.000	101.647	0.000
8.992	3.402	0.0000	0.281	111.183	0.000	111.183	0.000
9.991	3.693	0.0000	0.315	120.686	0.000	120.686	0.000
10.988	3.986	0.0000	0.348	130.271	0.000	130.271	0.000
11.989	4.282	0.0000	0.381	139.935	0.000	139.935	0.000
12.988	4.579	0.0000	0.415	149.631	0.000	149.631	0.000
13.988	4.879	0.0000	0.448	159.448	0.000	159.448	0.000
14.985	5.183	0.0000	0.481	169.366	0.000	169.366	0.000
15.985	5.483	0.0000	0.515	179.190	0.000	179.190	0.000
16.984	5.713	0.0000	0.548	186.683	0.000	186.683	0.000
17.982	5.949	0.0000	0.581	194.425	0.000	194.425	0.000
18.982	6.192	0.0000	0.614	202.337	0.000	202.337	0.000
19.98	6.423	0.0000	0.648	209.886	0.000	209.886	0.000
20.979	6.638	0.0000	0.681	216.941	0.000	216.941	0.000
21.979	6.837	0.0000	0.714	223.422	0.000	223.422	0.000
22.978	7.021	0.0000	0.748	229.441	0.000	229.441	0.000
23.975	7.190	0.0000	0.781	234.964	0.000	234.964	0.000
24.976	7.350	0.0000	0.814	240.186	0.000	240.186	0.000
25.976	7.504	0.0000	0.848	245.222	0.000	245.222	0.000
26.973	7.655	0.0000	0.881	250.176	0.000	250.176	0.000
27.973	7.797	0.0000	0.914	254.788	0.000	254.788	0.000
28.973	7.925	0.0000	0.947	258.993	0.000	258.993	0.000
29.972	8.013	0.0000	0.981	261.853	0.000	261.853	0.000
30.971	7.892	0.0000	1.014	257.905	0.000	257.905	0.000
31.969	7.522	0.0000	1.047	245.820	0.000	245.820	0.000
32.969	7.470	0.0000	1.081	244.105	0.000	244.105	0.000
33.967	7.465	0.0000	1.114	243.954	0.000	243.954	0.000
34.966	7.472	0.0000	1.147	244.167	0.000	244.167	0.000
35.966	7.485	0.0000	1.181	244.621	0.000	244.621	0.000
36.965	7.500	0.0000	1.214	245.085	0.000	245.085	0.000
37.964	7.505	0.0000	1.247	245.258	0.000	245.258	0.000
38.963	7.513	0.0000	1.280	245.513	0.000	245.513	0.000
39.962	7.519	0.0000	1.314	245.729	0.000	245.729	0.000
40.96	7.520	0.0000	1.347	245.735	0.000	245.735	0.000
41.959	7.512	0.0000	1.380	245.477	0.000	245.477	0.000
42.959	7.504	0.0000	1.414	245.219	0.000	245.219	0.000
43.958	7.519	0.0000	1.447	245.722	0.000	245.722	0.000
44.957	7.528	0.0000	1.480	246.013	0.000	246.013	0.000
45.956	7.528	0.0000	1.514	246.026	0.000	246.026	0.000
46.955	7.515	0.0000	1.547	245.585	0.000	245.585	0.000
47.953	7.513	0.0000	1.580	245.533	0.000	245.533	0.000
48.953	7.529	0.0000	1.613	246.052	0.000	246.052	0.000
49.951	7.547	0.0000	1.647	246.627	0.000	246.627	0.000
50.951	7.537	0.0000	1.680	246.317	0.000	246.317	0.000
51.95	7.543	0.0000	1.713	246.490	0.000	246.490	0.000
52.949	7.565	0.0000	1.747	247.232	0.000	247.232	0.000
53.947	7.583	0.0000	1.780	247.824	0.000	247.824	0.000
54.945	7.590	0.0000	1.813	248.039	0.000	248.039	0.000
55.945	7.557	0.0000	1.847	246.967	0.000	246.967	0.000
56.945	7.492	0.0000	1.880	244.833	0.000	244.833	0.000
57.944	7.496	0.0000	1.913	244.958	0.000	244.958	0.000
58.942	7.528	0.0000	1.947	246.010	0.000	246.010	0.000
59.942	7.566	0.0000	1.980	247.261	0.000	247.261	0.000
60.94	7.610	0.0000	2.013	248.690	0.000	248.690	0.000
61.937	7.645	0.0000	2.046	249.833	0.000	249.833	0.000
62.938	7.669	0.0000	2.080	250.621	0.000	250.621	0.000
63.938	7.684	0.0000	2.113	251.118	0.000	251.118	0.000
64.936	7.691	0.0000	2.146	251.353	0.000	251.353	0.000
65.935	7.670	0.0000	2.180	250.657	0.000	250.657	0.000
66.934	7.606	0.0000	2.213	248.559	0.000	248.559	0.000
67.934	7.591	0.0000	2.246	248.062	0.000	248.062	0.000
68.933	7.603	0.0000	2.280	248.461	0.000	248.461	0.000
69.931	7.629	0.0000	2.313	249.310	0.000	249.310	0.000
70.931	7.661	0.0000	2.346	250.366	0.000	250.366	0.000
71.93	7.685	0.0000	2.379	251.127	0.000	251.127	0.000
72.926	7.700	0.0000	2.413	251.641	0.000	251.641	0.000
73.928	7.708	0.0000	2.446	251.899	0.000	251.899	0.000
74.925	7.694	0.0000	2.479	251.441	0.000	251.441	0.000
75.926	7.653	0.0000	2.513	250.114	0.000	250.114	0.000
76.924	7.632	0.0000	2.546	249.399	0.000	249.399	0.000
77.924	7.529	0.0000	2.579	246.046	0.000	246.046	0.000
78.923	7.396	0.0000	2.613	241.686	0.000	241.686	0.000
79.922	7.389	0.0000	2.646	241.467	0.000	241.467	0.000
80.921	7.402	0.0000	2.679	241.882	0.000	241.882	0.000
81.92	7.417	0.0000	2.712	242.386	0.000	242.386	0.000
82.918	7.429	0.0000	2.746	242.765	0.000	242.765	0.000
83.917	7.441	0.0000	2.779	243.170	0.000	243.170	0.000
84.918	7.459	0.0000	2.812	243.748	0.000	243.748	0.000
85.916	7.474	0.0000	2.846	244.242	0.000	244.242	0.000
86.915	7.485	0.0000	2.879	244.611	0.000	244.611	0.000
87.913	7.497	0.0000	2.912	244.990	0.000	244.990	0.000
88.913	7.507	0.0000	2.946	245.343	0.000	245.343	0.000
89.911	7.519	0.0000	2.979	245.709	0.000	245.709	0.000
90.911	7.523	0.0000	3.012	245.856	0.000	245.856	0.000
91.909	7.501	0.0000	3.045	245.127	0.000	245.127	0.000
92.909	7.490	0.0000	3.079	244.755	0.000	244.755	0.000
93.907	7.455	0.0000	3.112	243.624	0.000	243.624	0.000
94.906	7.462	0.0000	3.145	243.856	0.000	243.856	0.000
95.906	7.517	0.0000	3.179	245.663	0.000	245.663	0.000
96.905	7.535	0.0000	3.212	246.252	0.000	246.252	0.000
97.902	7.535	0.0000	3.245	246.239	0.000	246.239	0.000
98.903	7.506	0.0000	3.279	245.288	0.000	245.288	0.000
99.902	7.457	0.0000	3.312	243.680	0.000	243.680	0.000
100.9	7.479	0.0000	3.345	244.415	0.000	244.415	0.000
101.901	7.542	0.0000	3.378	246.467	0.000	246.467	0.000
102.899	7.561	0.0000	3.412	247.088	0.000	247.088	0.000
103.898	7.590	0.0000	3.445	248.033	0.000	248.033	0.000
104.897	7.595	0.0000	3.478	248.190	0.000	248.190	0.000
105.896	7.581	0.0000	3.512	247.755	0.000	247.755	0.000
106.895	7.478	0.0000	3.545	244.369	0.000	244.369	0.000
107.893	7.437	0.0000	3.578	243.042	0.000	243.042	0.000
108.893	7.446	0.0000	3.612	243.343	0.000	243.343	0.000
109.892	7.478	0.0000	3.645	244.373	0.000	244.373	0.000
110.891	7.534	0.0000	3.678	246.199	0.000	246.199	0.000
111.89	7.574	0.0000	3.711	247.510	0.000	247.510	0.000
112.89	7.602	0.0000	3.745	248.418	0.000	248.418	0.000
113.888	7.582	0.0000	3.778	247.784	0.000	247.784	0.000
114.887	7.563	0.0000	3.811	247.160	0.000	247.160	0.000
115.887	7.560	0.0000	3.845	247.059	0.000	247.059	0.000
116.885	7.544	0.0000	3.878	246.523	0.000	246.523	0.000
117.884	7.528	0.0000	3.911	246.010	0.000	246.010	0.000
118.884	7.574	0.0000	3.945	247.516	0.000	247.516	0.000
119.883	7.631	0.0000	3.978	249.389	0.000	249.389	0.000
120.882	7.665	0.0000	4.011	250.497	0.000	250.497	0.000
121.881	7.689	0.0000	4.044	251.265	0.000	251.265	0.000
122.879	7.657	0.0000	4.078	250.216	0.000	250.216	0.000
123.879	7.631	0.0000	4.111	249.373	0.000	249.373	0.000
124.876	7.560	0.0000	4.144	247.072	0.000	247.072	0.000
125.877	7.595	0.0000	4.178	248.216	0.000	248.216	0.000
126.876	7.631	0.0000	4.211	249.373	0.000	249.373	0.000
127.874	7.646	0.0000	4.244	249.866	0.000	249.866	0.000
128.874	7.569	0.0000	4.278	247.363	0.000	247.363	0.000
129.872	7.539	0.0000	4.311	246.359	0.000	246.359	0.000
130.871	7.558	0.0000	4.344	247.000	0.000	247.000	0.000
131.87	7.610	0.0000	4.377	248.706	0.000	248.706	0.000
