Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	45-02
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1018.0
Rm(MPa)	303
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	3.181
Rp(MPa)	1
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
87.912	7.372	0.0000	2.912	240.925	0.000	240.925	0.000
88.911	7.365	0.0000	2.946	240.699	0.000	240.699	0.000
89.911	7.369	0.0000	2.979	240.817	0.000	240.817	0.000
90.909	7.381	0.0000	3.012	241.209	0.000	241.209	0.000
91.907	7.394	0.0000	3.046	241.634	0.000	241.634	0.000
92.907	7.405	0.0000	3.079	242.007	0.000	242.007	0.000
93.907	7.410	0.0000	3.112	242.154	0.000	242.154	0.000
94.904	7.411	0.0000	3.145	242.199	0.000	242.199	0.000
95.905	7.387	0.0000	3.179	241.402	0.000	241.402	0.000
96.901	7.350	0.0000	3.212	240.203	0.000	240.203	0.000
97.903	7.357	0.0000	3.245	240.418	0.000	240.418	0.000
98.902	7.368	0.0000	3.279	240.784	0.000	240.784	0.000
99.9	7.374	0.0000	3.312	240.980	0.000	240.980	0.000
100.9	7.379	0.0000	3.345	241.134	0.000	241.134	0.000
101.899	7.375	0.0000	3.379	241.003	0.000	241.003	0.000
102.897	7.366	0.0000	3.412	240.732	0.000	240.732	0.000
103.897	7.360	0.0000	3.445	240.510	0.000	240.510	0.000
104.895	7.359	0.0000	3.478	240.490	0.000	240.490	0.000
105.894	7.380	0.0000	3.512	241.190	0.000	241.190	0.000
106.892	7.404	0.0000	3.545	241.954	0.000	241.954	0.000
107.891	7.427	0.0000	3.578	242.712	0.000	242.712	0.000
108.892	7.426	0.0000	3.612	242.667	0.000	242.667	0.000
109.891	7.371	0.0000	3.645	240.895	0.000	240.895	0.000
110.89	7.351	0.0000	3.678	240.232	0.000	240.232	0.000
111.889	7.346	0.0000	3.712	240.069	0.000	240.069	0.000
112.887	7.358	0.0000	3.745	240.458	0.000	240.458	0.000
113.887	7.377	0.0000	3.778	241.078	0.000	241.078	0.000
114.886	7.393	0.0000	3.811	241.585	0.000	241.585	0.000
115.885	7.400	0.0000	3.845	241.814	0.000	241.814	0.000
116.884	7.402	0.0000	3.878	241.908	0.000	241.908	0.000
117.882	7.412	0.0000	3.911	242.219	0.000	242.219	0.000
118.882	7.417	0.0000	3.945	242.399	0.000	242.399	0.000
119.88	7.420	0.0000	3.978	242.484	0.000	242.484	0.000
120.879	7.424	0.0000	4.011	242.608	0.000	242.608	0.000
121.879	7.422	0.0000	4.045	242.536	0.000	242.536	0.000
122.878	7.414	0.0000	4.078	242.281	0.000	242.281	0.000
123.877	7.400	0.0000	4.111	241.820	0.000	241.820	0.000
124.876	7.405	0.0000	4.144	242.003	0.000	242.003	0.000
125.875	7.432	0.0000	4.178	242.879	0.000	242.879	0.000
126.874	7.459	0.0000	4.211	243.748	0.000	243.748	0.000
127.871	7.476	0.0000	4.244	244.307	0.000	244.307	0.000
128.873	7.494	0.0000	4.278	244.899	0.000	244.899	0.000
129.871	7.492	0.0000	4.311	244.840	0.000	244.840	0.000
130.869	7.475	0.0000	4.344	244.281	0.000	244.281	0.000
131.869	7.453	0.0000	4.378	243.549	0.000	243.549	0.000
132.868	7.450	0.0000	4.411	243.464	0.000	243.464	0.000
133.865	7.448	0.0000	4.444	243.405	0.000	243.405	0.000
134.866	7.458	0.0000	4.477	243.709	0.000	243.709	0.000
135.863	7.455	0.0000	4.511	243.611	0.000	243.611	0.000
136.865	7.364	0.0000	4.544	240.647	0.000	240.647	0.000
137.862	7.336	0.0000	4.577	239.739	0.000	239.739	0.000
138.862	7.355	0.0000	4.611	240.356	0.000	240.356	0.000
139.862	7.379	0.0000	4.644	241.137	0.000	241.137	0.000
140.86	7.396	0.0000	4.677	241.686	0.000	241.686	0.000
141.859	7.410	0.0000	4.711	242.144	0.000	242.144	0.000
142.858	7.425	0.0000	4.744	242.654	0.000	242.654	0.000
143.857	7.431	0.0000	4.777	242.846	0.000	242.846	0.000
144.856	7.415	0.0000	4.810	242.314	0.000	242.314	0.000
145.854	7.381	0.0000	4.844	241.212	0.000	241.212	0.000
146.853	7.375	0.0000	4.877	241.013	0.000	241.013	0.000
147.853	7.378	0.0000	4.910	241.105	0.000	241.105	0.000
148.853	7.377	0.0000	4.944	241.065	0.000	241.065	0.000
149.851	7.370	0.0000	4.977	240.856	0.000	240.856	0.000
150.85	7.380	0.0000	5.010	241.170	0.000	241.170	0.000
151.85	7.391	0.0000	5.044	241.539	0.000	241.539	0.000
152.849	7.395	0.0000	5.077	241.667	0.000	241.667	0.000
153.847	7.407	0.0000	5.110	242.065	0.000	242.065	0.000
154.847	7.431	0.0000	5.143	242.833	0.000	242.833	0.000
155.845	7.450	0.0000	5.177	243.454	0.000	243.454	0.000
156.845	7.455	0.0000	5.210	243.627	0.000	243.627	0.000
157.842	7.463	0.0000	5.243	243.876	0.000	243.876	0.000
158.842	7.468	0.0000	5.277	244.046	0.000	244.046	0.000
159.842	7.470	0.0000	5.310	244.118	0.000	244.118	0.000
160.84	7.466	0.0000	5.343	243.980	0.000	243.980	0.000
161.84	7.456	0.0000	5.377	243.663	0.000	243.663	0.000
162.839	7.438	0.0000	5.410	243.056	0.000	243.056	0.000
163.836	7.406	0.0000	5.443	242.010	0.000	242.010	0.000
164.837	7.387	0.0000	5.476	241.412	0.000	241.412	0.000
165.834	7.384	0.0000	5.510	241.324	0.000	241.324	0.000
166.835	7.387	0.0000	5.543	241.389	0.000	241.389	0.000
167.834	7.383	0.0000	5.576	241.278	0.000	241.278	0.000
