Customer	SGCC_1.5
TestDate	4/4/2026
Coil No/Packet No	00-03
Type	Flat
Size(mm)	20*1.53
So(mm^2)	30.60
Lo(mm)	85
Lu(mm)	
A(%)	/
Su(mm^2)	/
Z(%)	/
Fm(kgf)	1392.1
Rm(MPa)	415
FeH(kgf)	/
ReH(MPa)	/
FeL(kgf)	/
ReL(MPa)	/
Fp(kgf)	1.316
Rp(MPa)	0
Ft(kgf)	/
Rt(MPa)	/
E(GPa)	/


-----------Curve----------
Time	Load	Elong	Disp	Stress	Strain	TrueStress	TrueStrain
0	0.013	0.0000	0.002	0.408	0.000	0.408	0.000
0.998	0.300	0.0000	0.018	9.801	0.000	9.801	0.000
1.996	0.793	0.0000	0.048	25.912	0.000	25.912	0.000
2.995	1.231	0.0000	0.082	40.222	0.000	40.222	0.000
3.995	1.743	0.0000	0.115	56.974	0.000	56.974	0.000
4.994	2.259	0.0000	0.148	73.827	0.000	73.827	0.000
5.992	2.759	0.0000	0.182	90.154	0.000	90.154	0.000
6.993	3.237	0.0000	0.215	105.778	0.000	105.778	0.000
7.992	3.699	0.0000	0.248	120.873	0.000	120.873	0.000
8.991	4.148	0.0000	0.281	135.539	0.000	135.539	0.000
9.988	4.581	0.0000	0.315	149.709	0.000	149.709	0.000
10.989	4.979	0.0000	0.348	162.725	0.000	162.725	0.000
11.988	5.286	0.0000	0.381	172.729	0.000	172.729	0.000
12.984	5.583	0.0000	0.415	182.444	0.000	182.444	0.000
13.986	5.874	0.0000	0.448	191.951	0.000	191.951	0.000
14.985	6.156	0.0000	0.481	201.190	0.000	201.190	0.000
15.983	6.434	0.0000	0.515	210.265	0.000	210.265	0.000
16.981	6.708	0.0000	0.548	219.225	0.000	219.225	0.000
17.981	6.979	0.0000	0.581	228.065	0.000	228.065	0.000
18.98	7.251	0.0000	0.614	236.944	0.000	236.944	0.000
19.979	7.524	0.0000	0.648	245.869	0.000	245.869	0.000
20.978	7.782	0.0000	0.681	254.297	0.000	254.297	0.000
21.978	8.032	0.0000	0.714	262.471	0.000	262.471	0.000
22.976	8.278	0.0000	0.748	270.513	0.000	270.513	0.000
23.975	8.517	0.0000	0.781	278.320	0.000	278.320	0.000
24.974	8.743	0.0000	0.814	285.719	0.000	285.719	0.000
25.974	8.963	0.0000	0.848	292.899	0.000	292.899	0.000
26.974	9.169	0.0000	0.881	299.654	0.000	299.654	0.000
27.971	9.355	0.0000	0.914	305.709	0.000	305.709	0.000
28.97	9.523	0.0000	0.948	311.222	0.000	311.222	0.000
29.968	9.678	0.0000	0.981	316.278	0.000	316.278	0.000
30.966	9.837	0.0000	1.014	321.467	0.000	321.467	0.000
31.967	9.990	0.0000	1.047	326.474	0.000	326.474	0.000
32.966	10.147	0.0000	1.081	331.611	0.000	331.611	0.000
33.965	10.313	0.0000	1.114	337.036	0.000	337.036	0.000
34.964	10.478	0.0000	1.147	342.415	0.000	342.415	0.000
35.963	10.634	0.0000	1.181	347.510	0.000	347.510	0.000
36.961	10.757	0.0000	1.214	351.529	0.000	351.529	0.000
37.961	10.812	0.0000	1.247	353.346	0.000	353.346	0.000
38.961	10.792	0.0000	1.281	352.680	0.000	352.680	0.000
39.96	10.772	0.0000	1.314	352.036	0.000	352.036	0.000
40.959	10.802	0.0000	1.347	353.007	0.000	353.007	0.000
41.958	10.869	0.0000	1.380	355.209	0.000	355.209	0.000
42.957	10.909	0.0000	1.414	356.507	0.000	356.507	0.000
43.955	10.919	0.0000	1.447	356.820	0.000	356.820	0.000
44.953	10.883	0.0000	1.480	355.637	0.000	355.637	0.000
45.953	10.873	0.0000	1.514	355.340	0.000	355.340	0.000
46.953	10.857	0.0000	1.547	354.814	0.000	354.814	0.000
47.952	10.802	0.0000	1.580	352.990	0.000	352.990	0.000
48.95	10.793	0.0000	1.614	352.709	0.000	352.709	0.000
49.95	10.820	0.0000	1.647	353.608	0.000	353.608	0.000
50.948	10.866	0.0000	1.680	355.108	0.000	355.108	0.000
51.948	10.908	0.0000	1.713	356.474	0.000	356.474	0.000
52.947	10.934	0.0000	1.747	357.317	0.000	357.317	0.000
53.945	10.915	0.0000	1.780	356.683	0.000	356.683	0.000
54.945	10.851	0.0000	1.813	354.608	0.000	354.608	0.000
55.943	10.789	0.0000	1.847	352.575	0.000	352.575	0.000
56.942	10.820	0.0000	1.880	353.595	0.000	353.595	0.000
57.94	10.868	0.0000	1.913	355.160	0.000	355.160	0.000
58.94	10.916	0.0000	1.947	356.729	0.000	356.729	0.000
59.94	10.932	0.0000	1.980	357.265	0.000	357.265	0.000
60.939	10.939	0.0000	2.013	357.487	0.000	357.487	0.000
61.937	10.912	0.0000	2.046	356.595	0.000	356.595	0.000
62.936	10.843	0.0000	2.080	354.333	0.000	354.333	0.000
63.935	10.877	0.0000	2.113	355.461	0.000	355.461	0.000
64.935	10.942	0.0000	2.146	357.569	0.000	357.569	0.000
65.933	10.986	0.0000	2.180	359.013	0.000	359.013	0.000
66.932	11.019	0.0000	2.213	360.088	0.000	360.088	0.000
67.932	11.030	0.0000	2.246	360.444	0.000	360.444	0.000
68.93	10.978	0.0000	2.280	358.758	0.000	358.758	0.000
69.93	10.966	0.0000	2.313	358.353	0.000	358.353	0.000
70.929	10.983	0.0000	2.346	358.925	0.000	358.925	0.000
71.925	10.991	0.0000	2.379	359.193	0.000	359.193	0.000
72.927	11.008	0.0000	2.413	359.745	0.000	359.745	0.000
73.927	11.020	0.0000	2.446	360.134	0.000	360.134	0.000
74.925	11.029	0.0000	2.479	360.418	0.000	360.418	0.000
75.924	11.027	0.0000	2.513	360.346	0.000	360.346	0.000
76.923	11.023	0.0000	2.546	360.212	0.000	360.212	0.000
77.922	11.021	0.0000	2.579	360.157	0.000	360.157	0.000
78.922	11.022	0.0000	2.613	360.186	0.000	360.186	0.000
79.921	10.980	0.0000	2.646	358.824	0.000	358.824	0.000
80.919	10.878	0.0000	2.679	355.474	0.000	355.474	0.000
81.919	10.838	0.0000	2.712	354.173	0.000	354.173	0.000
82.916	10.838	0.0000	2.746	354.193	0.000	354.193	0.000
83.916	10.717	0.0000	2.779	350.225	0.000	350.225	0.000
84.913	10.643	0.0000	2.812	347.820	0.000	347.820	0.000
85.913	10.683	0.0000	2.846	349.124	0.000	349.124	0.000
86.912	10.746	0.0000	2.879	351.173	0.000	351.173	0.000
87.912	10.760	0.0000	2.912	351.634	0.000	351.634	0.000
88.912	10.742	0.0000	2.946	351.033	0.000	351.033	0.000
89.91	10.672	0.0000	2.979	348.758	0.000	348.758	0.000
90.909	10.664	0.0000	3.012	348.497	0.000	348.497	0.000
91.907	10.741	0.0000	3.045	351.007	0.000	351.007	0.000
92.906	10.790	0.0000	3.079	352.605	0.000	352.605	0.000
93.905	10.810	0.0000	3.112	353.258	0.000	353.258	0.000
94.904	10.830	0.0000	3.145	353.915	0.000	353.915	0.000
95.904	10.839	0.0000	3.179	354.225	0.000	354.225	0.000
96.902	10.789	0.0000	3.212	352.585	0.000	352.585	0.000
97.901	10.740	0.0000	3.245	350.977	0.000	350.977	0.000
98.901	10.744	0.0000	3.279	351.108	0.000	351.108	0.000
99.901	10.751	0.0000	3.312	351.333	0.000	351.333	0.000
100.898	10.714	0.0000	3.345	350.134	0.000	350.134	0.000
101.897	10.668	0.0000	3.378	348.627	0.000	348.627	0.000
102.897	10.688	0.0000	3.412	349.281	0.000	349.281	0.000
103.895	10.721	0.0000	3.445	350.343	0.000	350.343	0.000
104.894	10.768	0.0000	3.478	351.889	0.000	351.889	0.000
105.895	10.824	0.0000	3.512	353.709	0.000	353.709	0.000
